id,generated_answer,correct_answer
102,"Γ. ""0,2""

**Εξήγηση:**

Το κόστος ευκαιρίας του αγαθού Χ είναι ο αριθμός των μονάδων του αγαθού Χ που θυσιάζονται για να παραχθούν 60 μονάδες του αγαθού Υ.  Στην ερώτηση, 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ.  Άρα, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 30/60 = 0,5.  Ωστόσο, η ερώτηση ζητάει το κόστος ευκαιρίας του Χ *σε όρους του Υ*.  Αυτό σημαίνει ότι πρέπει να υπολογίσουμε πόσες μονάδες Χ απαιτούνται για να παράγουμε 1 μονάδα Υ.  Συνεπώς, το κόστος ευκαιρίας είναι 1/0,5 = 2.

**Λάθος στην αρχική σκέψη:**

Η αρχική σκέψη υπολόγισε το κόστος ευκαιρίας του Υ σε όρους Χ, όχι το αντίστροφο. Η ερώτηση ζητάει το κόστος ευκαιρίας του Χ σε όρους Υ.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 0,5.  Αν θέλουμε να εκφράσουμε αυτό το κόστος σε μονάδες Υ, τότε το κόστος ευκαιρίας είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Α. ""0,5""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 0,5.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Β. ""2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Α. ""0,5""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

",Β
103,"Δ
",Δ
104,"Α.
",Γ
105,Β.,Β
106,"Β.
",Δ
107,"Α
",Δ
108,"Α. 16

**Εξήγηση:**

* **TC (Συνολικό Κόστος):** 10 + 20L + 10Q
* **L (Εργασία):** 1 μονάδα
* **Q (Ποσότητα):** 5 μονάδες
* **MC (Μέσο Μεταβλητό Κόστος):** TC / Q = (10 + 20L + 10Q) / Q
* **MC (Μέσο Μεταβλητό Κόστος) για L=1 και Q=5:** (10 + 20*1 + 10*5) / 5 = (10 + 20 + 50) / 5 = 80 / 5 = 16

Άρα, η σωστή απάντηση είναι **Α. 16**.",Β
109,"Γ.
",Δ
110,"Β.
",Δ
111,"Β. -28%.

**Εξήγηση:**

Η ελαστικότητα ζήτησης ως προς την τιμή υπολογίζεται ως:

Ε = (% Αλλαγής στην Π τιμή) / (% Αλλαγής στην Ζήτηση)

Στην περίπτωσή μας, Ε = -2 και η τιμή αυξάνεται κατά 20%.  Άρα:

-2 = (20%) / (% Αλλαγής στην Ζήτηση)

Λύνουμε για την αλλαγή στην ζήτηση:

% Αλλαγής στην Ζήτηση = 20% / -2 = -10%

Η συνολική δαπάνη είναι το γινόμενο της τιμής και της ζήτησης.  Επομένως, η ποσοστιαία μεταβολή της συνολ কাগης είναι:

% Αλλαγής στην Συνολική Δαπάνη = (% Αλλαγής στην Τιμή) + (% Αλλαγής στην Ζ મારી)

= 20% + (-10%) = 10%

Αυτό δεν ταιριάζει με καμία από τις επιλογές.  Ας υπολογίσουμε την αλλαγή στην συνολική δαπάνη με βάση την αρχική τιμή και την νέα τιμή.

Αρχική τιμή = 100
Νέα τιμή = 120 (100 + 20%)
Αρχική Ζήτηση = 100
Νέα Ζήτηση = 120 (100 + 20%)

Συνολική Δαπάνη αρχικά = 100 * 100 = 10000
Συνολική Δαπάνη μετά την αύξηση = 120 * 120 = 14400

Αλλαγή στην Δαπάνη = 14400 - 10000 = 4400
% Αλλαγής στην Δαπάνη = 4400 / 10000 = 0.44 = 44%

Αν η ελαστικότητα είναι -2, τότε η αύξηση της τιμής θα πρέπει να είναι 20% και η αύ conséquent η αύξηση της ζήτησης θα πρέπει να είναι 10%.

Αν η τιμή αυξηθεί κατά 20%, η ζήτηση θα μειωθεί κατά 10%.

Η αλλαγή στην τιμή είναι 20% και η αλλαγή στην ζفاعل είναι -10%.

Η συνολική αλλαγή στην δαπάνη είναι 20% - 10% = 10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην δαπάνη, τότε η απάνται είναι 10%.

Αν η ερώτηση αναφέρεται στην ελαστικότητα, τότε η απάντηση είναι -10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην δαπάνη, τότε η απάντηση είναι 10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην τιμή, τότε η απάντηση είναι 20%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην ζήτηση, τότε η απάντηση είναι -10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην δαπάνη, τότε η απάντηση είναι 10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην τιμή, τότε η απάντηση είναι 20%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην ζήτηση, τότε η απάντηση είναι -10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην δαπάνη, τότε η απάντηση είναι 10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην τιμή, τότε η απάντηση είναι 20%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην ζήτηση, τότε η απάντηση είναι -10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην δαπάνη, τότε η απάντηση είναι 10%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην τιμή, τότε η απάντηση είναι 20%.

Αν η ερώτηση αναφέρεται στην αλλαγή στην ζ",Β
112,"Γ
",Γ
113,"Γ.
",Γ
114,"Γ
",Γ
115,"Β.
",Β
116,"Γ.
",Β
117,"Γ.
",Β
118,"Α.
",Δ
119,Α.,Α
120,"Β.
",Β
121,"Α.
",Α
122,Α.,Α
123,"Δ
",Δ
124,"Δ
",Δ
125,"Γ.
",Β
126,"Β
",Β
127,"Γ.
",Γ
128,"Α.
",Γ
129,"Γ. ""μειώνεται.""

**Εξήγηση:**

Στη βραχυχρόνια περίοδο, το σταθερό κόστος (π.χ., ενοίκιο, αμοιβές διοίκησης) δεν αλλάζει με την παραγωγή.  Ωστόσο, καθώς η παραγωγή αυξάνεται, το *μεταβλητό* κόστος (π.χ., υλικά, εργασία) αυξάνεται επίσης.  Επομένως, η συμβολή του σταθερού κόστους στο συνολικό κόστος μειώνεται ανά μονάδα παραγωγής.
",Γ
130,"Β
",Β
131,"Α
",Α
132,"Β.
",Γ
133,"Β. 96 ευρώ.

**Εξήγηση:**

Η ερώτηση αναφέρει ότι η ζήτηση (ED) είναι αρνητική. Αυτό σημαίνει ότι όσο υψηλότερη είναι η τιμή, τόσο μικρότερη είναι η ζ unico ποσότητα που οι καταναλωτές είναι πρόθυμοι να αγοράσουν.

Αν η τιμή αυξηθεί κατά 25% και η ζώνη μειωθεί, η συνολική δαπάνη θα αυξηθεί.  Αυτό υποδηλώνει ότι η αρχική τιμή (Ρ1) ήταν χαμηλότερη από 120 ευρώ.

Για να βρούμε την αρχική τιμή, μπορούμε να χρησιμοποιήσουμε την εξίσωση της ελαστικότητας της ζήτησης:

% Αλλαγή στην ποσότητα / % Α rufo στην τιμή = - (ΕD)

Στην περίπτωσή μας:

% Αλλαγή στην ποσότητα = -3
% Αλλαγή στην τιμή = 25%

Άρα:

-3 / 25 = - (ΕD)

Επομένως, ΕD = 3/25 = 0,12

Αν η αρχική τιμή ήταν 120 ευρώ, τότε η νέα τιμή είναι 120 * 1,25 = 150 ευρώ.

Αν η αρχική τιμή ήταν 40 ευρώ, τότε η νέα τιμή είναι 40 * 1,25 = 50 ευρώ.

Αν η αρχική τιμή ήταν 160 ευρώ, τότε η νέα τιμή είναι 160 * 1,25 = 200 ευρώ.

Από τις διαbid, η σωστή απάντηση είναι η Β. 96 ευρώ.",Δ
134,"Γ
",Β
135,"Α.

",Δ
136,"Δ
",Α
137,"Β
",Β
138,"Γ
",Γ
139,"Γ
",Β
140,"Β.
",Β
141,"Γ. ""0,2""

**Εξήγηση:**

Το κόστος ευκαιρίας του αγαθού Χ είναι ο αριθμός των μονάδων του αγαθού Χ που θυσιάζονται για να παραχθούν 60 μονάδες του αγαθού Υ.  Στην ερώτηση, 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ.  Άρα, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 30/60 = 0,5.  Ωστόσο, η ερώτηση ζητάει το κόστος ευκαιρίας του Χ *σε όρους του Υ*.  Αυτό σημαίνει ότι πρέπει να υπολογίσουμε πόσες μονάδες Χ απαιτούνται για να παράγουμε 1 μονάδα Υ.  Συνεπώς, το κόστος ευκαιρίας είναι 1/0,5 = 2.

**Λάθος στην αρχική σκέψη:**

Η αρχική σκέψη υπολόγισε το κόστος ευκαιρίας του Υ σε όρους Χ, όχι το αντίστροφο. Η ερώτηση ζητάει το κόστος ευκαιρίας του Χ σε όρους Υ.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 0,5.  Αν θέλουμε να εκφράσουμε αυτό το κόστος σε μονάδες Υ, τότε το κόστος ευκαιρίας είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Α. ""0,5""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδες Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 0,5.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Β. ""2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Α. ""0,5""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

**Σωστή απάντηση:**

Η σωστή απάντηση είναι **Γ. ""0,2""**.

**Εξήγηση:**

Αν 30 μονάδες Χ θυσιάζονται για 60 μονάδων Υ, τότε για να παράγουμε 1 μονάδα Υ, απαιτούνται 30/60 = 0,5 μονάδες Χ.  Επομένως, το κόστος ευκαιρίας του Χ σε όρους Υ είναι 1/0,5 = 2.

",Β
142,"Δ
",Γ
143,"Γ
",Γ
144,"Β.
",Β
145,"Γ. |ΕD| = 1.

**Εξήγηση:**

Η ελαστικότητα της ζήτησης (ΕD) μετρά την ευαισθησία της ποσότητας που ζητείται ένα αγαθό σε αλλαγές της τιμής του.  Στην περίπτωση του πετρελαίου θέρμανσης, η ζήτηση είναι σχετικά μη-ελαστική, ειδικά σε βραχυπρόθεσμη βάση.  Αυτό σημαίνει ότι μικρές αλλαγές στην τιμή δεν οδηγούν σε σημαντικές αλλαγές στην ποσότητα που ζητείται.

Επειδή η ζήτηση για πετρέλαιο θέρμανσης είναι σχετικά μη-ελαστική, η ελαστικότητα της ζفاعل (ΕD) θα είναι κοντά στο 1, αλλά όχι ακριβώς 1.  Η επιλογή ""Δ"" (""|ΕD| > 1."") είναι πιο ακριβής από την ""Α"" (""ΕD = 0."") και ""Β"" (""ΕD τείνει στο άπειρο."") και ""Γ"" (""|ΕDτοξ | = 1."")

",Γ
146,"Γ. ""αύξηση της ζήτησής του.""

**Εξήγηση:**

Όταν η τιμή ενός προϊόντος αυξάνεται και η ποσότητα ισορροπίας μειώνεται, αυτό σημαίνει ότι η ζفاعل (demand) έχει αυξηθεί.  Σύμφωνα με τον νόμο της ζήμης, όταν η ζήτηση αυξάνεται, η τιμή και η ποσότητα που προσφέρεται μειώνονται.
",Β
147,"Δ.
",Δ
148,"Γ
",Γ
149,"Γ.
",Γ
150,"Δ
",Δ
151,"Γ.
",Γ
152,"Γ
",Γ
153,"Β
",Β
154,Α.,Β
155,"Β.
",Γ
156,"Δ
",Γ
157,"Β
",Β
158,"Α.
",Γ
159,"Γ.
",Β
160,"Α.
",Γ
161,"Α.
",Δ
162,"Α
",Γ
163,"Δ.
",Δ
164,"Γ.
",Γ
165,"Γ. ""μειώνεται συνεχώς""

**Εξήγηση:**

Το Οριακό Προϊόν (MP) είναι η επιπρόσθετη παραγωγή που προκύπτει από την προσθήκη μιας επιπ㝌 επιπ defaultstate εργασίας. Το Μέσο Προϊόν (AP) είναι η συνολική παραγωγή διαιρούμενη με την εργασία.

Όταν το Οριακό Προϊόν είναι μικρότερο από το Μέ ஏற்படுத்தும், σημαίνει ότι η κάθε επιπλέον ώρα εργασίας προσφέρει λιγ ""πρόσθετη"" παραγωγή.  Συνεπώς, η συνολική παραγωγή (AP) μειώνεται.

Στην βραχυχρόνια περίοδο, η εργασία είναι σταθερή και η παραγωγή μειώνεται.

",Γ
166,"Β.
",Β
167,"Α.
",Δ
168,"Β
",Γ
169,"Γ
",Γ
170,Α.,Β
171,"Δ.
",Δ
172,"Α.
",Α
173,"Γ
",Β
174,"Γ
",Γ
175,"Γ
",Δ
176,"Α.
",Β
177,"Α.
",Β
178,"Γ. ""160""

**Εξήγηση:**

Το μέγιστο μέσο προϊόν της εργασίας επιτυγχάνεται όταν το οριακό προϊόν της εργ!(""{:*}"" είναι ίσο με το μέпаσο μέσο προϊόν.  Στην περίπτωση αυτή, το οριακό προϊόν του πέμπτου εργάτη είναι 32, άρα το μέídos μέσο προϊόν είναι επίσης 32.

Επομένως, το συνολικό προϊόν για πέντε εργάτες είναι 5 * 32 = 160.",Γ
179,"Γ
",Γ
180,"Β
",Β
181,"Δ.
",Δ
182,"Α.
",Γ
183,"Δ
",Δ
184,"Α.
",Δ
185,"Β
",Γ
186,"Α.
",Α
187,"Β.
",Δ
188,Α.,Β
189,"Α.
",Α
190,"Α.
",Α
191,"Α
",Δ
192,"Γ
",Α
193,"Δ
",Δ
194,"Δ
",Δ
195,"Β.
",Α
196,"Γ
",Γ
197,"Α.
",Β
198,"Γ
",Α
199,"Α.
",Γ
200,"Α.
",Β
201,"Γ
",Γ
202,"Γ
",Γ
203,"Δ
",Γ
204,"Γ
",Γ
205,"Γ
",Γ
206,"Α
",Γ
207,"Γ. ""μειώνεται.""

**Εξήγηση:**

Στη βραχυχρόνια περίοδο, το σταθερό κόστος (π.χ., ενοίκιο, αμοιβές διοίκησης) δεν αλλάζει με την παραγωγή.  Ωστόσο, καθώς η παραγωγή αυξάνεται, το *μεταβλητό* κόστος (π.χ., υλικά, εργασία) αυξάνεται επίσης.  Επομένως, η συμβολή του σταθερού κόστους στο συνολικό κόστος μειώνεται ανά μονάδα παραγωγής.
",Γ
208,"Δ
",Δ
209,"Γ
",Γ
210,Β.,Β
211,"Α.
",Α
212,"Α.
",Α
213,"Γ. ""Αλτουσέρ.""
",Δ
214,"Γ.
",Γ
215,"Γ. 40

**Εξήγηση:**

Το κόστος ευκαιρίας του αγαθού Χ σε όρους του αγαθού Ψ είναι ο λόγος των μονάδων του αγαθού Χ που μπορούν να παραχθούν έναντι των μονάδων του αγαθού Ψ που θυσιάζονται.

* **Σενάριο 1:** 60 μονάδες Χ / 100 μονάδες Ψ = 0.6
* **Σενάριο 2:** 80 μονάδες Χ / 60 μονάδες Ψ = 1.33

Επειδή η ερώτηση αναφέρει ότι η οικονομία χρησιμοποιεί *όλους* τους παραγωγικούς συντελεστές αποδοτικά, και δεδομένου ότι η επιλογή Γ είναι η μόνη που πληροί την προϋπόθεση, η σωστή απάντηση είναι 40.
",Β
216,"Α.
",Α
217,"Γ
",Δ
218,"Β
",Α
219,"Γ
",Γ
220,Β.,Β
221,"Δ
",Δ
222,"Β.
",Β
223,"Δ
",Δ
224,"Γ. |ΕD| = 1.

**Εξήγηση:**

Η ελαστικότητα της ζήτησης (ΕD) μετρά την ευαισθησία της ποσότητας που ζητείται από μια κατηγορία αγαθών σε αλλαγές της τιμής.  Στην περίπτωση του πετρελαίου θέρμανσης, η ζήτηση είναι σχετικά μη-ελαστική, ειδικά σε βραχυπρόθεσμη βάση.  Αυτό σημαίνει ότι μικρές αλλαγές στην τιμή δεν οδηγούν σε σημαντικές αложες α জেলার στην ποσότητα που ζητείται.

Επειδή η ερώτηση αναφέρει ότι οι ένοικοι αγοράζουν κάθε μήνα πετρέλαιο θέρμανσης αξίας 1.000 ευρώ, και η τιμή δεν αλλάζει, η ζήτησή τους παραμένει σταθερή.  Σε μια τέτοια περίπτωση, η ελαστικότητα της ζفاعل είναι περίπου 1 (ή κοντά σε αυτό).

Επομένως, η σωστή απάντηση είναι Γ. ""|ΕDτοξ | = 1.""
",Γ
225,"Α.
",Β
226,"Β
",Β
227,"Δ.
",Δ
228,Δ.,Γ
229,"Δ
",Δ
230,"Α.
",Γ
231,Α.,Γ
232,"Α.
",Α
233,"Γ
",Α
234,"Γ. ""Χειρισμός Mendelssohn""

**Εξήγηση:**

* **Δυσφαγία και καθυστερημένη φαρυγγική κατάποση** υποδηλώνουν ότι ο Μιχάλης έχει δυσκολία στην κατάποση και στην ενεργοποίηση των φυσικών μηχανισμών προστασίας του φαρυγγός.
* **Χειρισμός Mendelssohn** είναι μια τεχνική που βοηθά στην κατάποση, όπου ο ασθενής αναπνέει βαθιά και στη συνέχεια προσπαθεί να καταπιεί, βοηθώντας έτσι στην ενεργοποίηση των μυών και στην προστασία του φαρυγγός.
* Οι άλλες επιλογές δεν είναι κατάλληλες:
    * **Πηγούνι προς τα κάτω (Chin tuck)**:  Χρησιμοποιείται για την πρόοδο της κατά రామ, αλλά δεν είναι κατάλληλη για δυσφαγία.
    * **Θερμική απτική στοματική διέγερση**:  Είναι μια τεχνική για την διέγερση της στοματικής περιοχής, αλλά δεν αντιμετωπίζει την δυσκολία στην κατά τη διάρκεια της κατάค์ποσης.
    * **Τοποθέτηση του μαθητή σε ύπτια θέση κατά την κατάποση**:  Μπορεί να είναι επικίνδυνη για άτομα με δυσφαγία.

",Β
235,"Α. Split
",Δ
236,Α,Β
