id,question,answers,best_answer,best_answer_index
1Γ-2025-20250527-1-11,Ένας νόμος που παραβιάζει συνταγματικά δικαιώματα:,"Α. ""Μπορεί να κηρυχθεί ανίσχυρος έναντι πάντων από το Ανώτατο Ειδικό Δικαστήριο αν έχουν εκδοθεί αντίθετες αποφάσεις ως προς τη συνταγματικότητά του από ανώτατα δικαστήρια""

Β. ""Δεσμεύει κάθε δικαστήριο γιατί έχει θεσπιστεί με έγκυρο τρόπο""

Γ. ""Μπορεί να ακυρωθεί από κάθε δικαστήριο""

Δ. ""Μπορεί να ακυρωθεί μόνο από τα ανώτατα δικαστήρια""",Μπορεί να κηρυχθεί ανίσχυρος έναντι πάντων από το Ανώτατο Ειδικό Δικαστήριο αν έχουν εκδοθεί αντίθετες αποφάσεις ως προς τη συνταγματικότητά του από ανώτατα δικαστήρια,Α
1Γ-2025-20250527-1-12,"Η λαϊκή κυριαρχία, στο πολίτευμά μας, είναι:","Α. ""Άγραφη αρχή""

Β. ""Θεμελιώδης συνταγματική αρχή""

Γ. ""Κατώτερη από την εθνική κυριαρχία""

Δ. ""Πάνω από το Σύνταγμα""",Θεμελιώδης συνταγματική αρχή,Β
1Γ-2025-20250527-1-13,Η αίτηση θεραπείας:,"Α. ""Είναι συνταγματικά κατοχυρωμένη στο δικαίωμα αναφοράς""

Β. ""Μπορεί να ασκηθεί, εφόσον προβλέπεται στον νόμο""

Γ. ""Δεν δημιουργεί υποχρέωση της διοίκησης να απαντήσει""

Δ. ""Καμία από τις λοιπές απαντήσεις""",Είναι συνταγματικά κατοχυρωμένη στο δικαίωμα αναφοράς,Α
1Γ-2025-20250527-1-14,Απαγορεύεται η μεταβολή του προορισμού των δασών:,"Α. ""Εκτός εάν εξυπηρετείται υπέρτερο δημόσιο συμφέρον""

Β. ""Χωρίς αποζημίωση""

Γ. ""Χωρίς νόμο ψηφισμένο από τα 3/5 των μελών της Βουλής""

Δ. ""Χωρίς να ιδρυθεί κέντρο περίθαλψης της άγριας ζωής""",Εκτός εάν εξυπηρετείται υπέρτερο  δημόσιο συμφέρον,Α
1Γ-2025-20250527-1-15,Δικαίωμα του εκλέγεσθαι στο βουλευτικό αξίωμα έχουν Έλληνες/ίδες πολίτες με:,"Α. ""Ικανότητα εκλέγειν άνω των 25 ετών""

Β. ""Ικανότητα εκλέγειν άνω των 35 ετών""

Γ. ""Ικανότητα εκλέγειν άνω των 21 ετών""

Δ. ""Ικανότητα εκλέγειν που δεν έχουν καταδικαστεί ποινικά για οποιοδήποτε αδίκημα""",Ικανότητα εκλέγειν άνω των 25 ετών,Α
1Γ-2025-20250527-1-16,Οι δημόσιοι υπάλληλοι μπορούν να εκφράζουν τις πεποιθήσεις τους υπέρ ή κατά πολιτικού κόμματος;,"Α. ""Απαγορεύεται απολύτως""

Β. ""Μόνο κατά την άσκηση των καθηκόντων τους""

Γ. ""Μόνο εκτός της άσκησης των καθηκόντων τους""

Δ. ""Μπορούν άνευ περιορισμού""",Μόνο εκτός της άσκησης των καθηκόντων τους,Γ
1Γ-2025-20250527-1-17,ΔΕΝ επιτρέπεται η αναγκαστική απαλλοτρίωση ακινήτων:,"Α. ""Που συνιστούν την πρώτη κατοικία""

Β. ""Που ανήκουν σε άτομα της τρίτης ηλικίας""

Γ. ""Χωρίς αποζημίωση""

Δ. ""Που ανήκουν σε ευάλωτες πληθυσμιακές ομάδες""",Χωρίς αποζημίωση,Γ
1Γ-2025-20250527-1-18,Η αναδρομική κατάργηση του επιδόματος τέκνων των δημοσίων υπαλλήλων σε ποια θεμελιώδη αρχή του διοικητικού δικαίου είναι δυνατόν να προσκρούσει;,"Α. ""Στην αρχή της υπεροχής και της προστασίας του δημόσιου συμφέροντος""

Β. ""Στην αρχή της αξιοκρατίας""

Γ. ""Στην αρχή της αμεροληψίας των οργάνων της δημόσιας διοίκησης""

Δ. ""Στην αρχή της δικαιολογημένης εμπιστοσύνης του/της διοικούμενου/ης""",Στην αρχή της δικαιολογημένης εμπιστοσύνης του/της διοικούμενου/ης,Δ
1Γ-2025-20250527-1-19,Στους αποδέκτες των θεμελιωδών δικαιωμάτων:,"Α. ""Συγκαταλέγεται μόνο η νομοθετική εξουσία""

Β. ""Συγκαταλέγονται μόνο οι τρεις συντεταγμένες εξουσίες του κράτους (νομοθετική, εκτελεστική, δικαστική)""

Γ. ""Μπορούν να συγκαταλέγονται και οι ιδιώτες""

Δ. ""Συγκαταλέγονται μόνον οι ιδιώτες""",Μπορούν να συγκαταλέγονται και οι ιδιώτες,Γ
1Γ-2025-20250527-1-20,Χαρακτηριστικό γνώρισμα του κοινοβουλευτικού συστήματος είναι:,"Α. ""Ότι η Κυβέρνηση οφείλει να απολαμβάνει την εμπιστοσύνη της Βουλής""

Β. ""Η απόλυτη διάκριση των λειτουργιών""

Γ. ""Ότι η Κυβέρνηση δεν απαιτείται να έχει την εμπιστοσύνη της Βουλής καθώς είναι ανεξάρτητη από αυτήν""

Δ. ""Ότι ο/η ΠτΔ εκλέγεται πάντα με αυξημένη πλειοψηφία από τη Βουλή""",Ότι η Κυβέρνηση οφείλει να απολαμβάνει την εμπιστοσύνη της Βουλής,Α
1Γ-2025-20250527-1-21,Ποια είναι η ευθύνη του/της βουλευτή για την άποψη που εξέφρασε κατά την άσκηση των βουλευτικών του καθηκόντων;,"Α. ""Ο/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων""

Β. ""Ο/Η βουλευτής φέρει ποινική ευθύνη""

Γ. ""Ο/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων παρά μόνο για συκοφαντική δυσφήμηση, κατά τον νόμο, ύστερα από άδεια της Βουλής""

Δ. ""Ο/Η βουλευτής δεν έχει καμία ευθύνη""","O/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων παρά μόνο για συκοφαντική δυσφήμηση, κατά τον νόμο, ύστερα από άδεια της Bουλής",Γ
1Γ-2025-20250527-1-22,Η αποκέντρωση στο Σύνταγμα του 1975:,"Α. ""Αποτελεί τη γενική αρχή που κατοχυρώνει την αυτονομία των οργανισμών τοπικής αυτοδιοίκησης""

Β. ""Είναι κατευθυντήρια αρχή με πολιτική και όχι νομική σημασία""

Γ. ""Ταυτίζεται απολύτως με την αρχή της επικουρικότητας στο Ευρωπαϊκό Δίκαιο""

Δ. ""Κατοχυρώνει τη συγκρότηση και λειτουργία περιφερειακών κρατικών οργάνων με γενική αποφασιστική αρμοδιότητα""",Κατοχυρώνει τη συγκρότηση και λειτουργία περιφερειακών κρατικών οργάνων με γενική αποφασιστική αρμοδιότητα,Δ
1Γ-2025-20250527-1-23,"Η κατανομή της εξουσίας σε εκτελεστική, νομοθετική και δικαστική ονομάζεται:","Α. ""Νομοθετική εξουσιοδότηση""

Β. ""Αρχή της διάκρισης των λειτουργιών""

Γ. ""Διασταύρωση των λειτουργιών""

Δ. ""Λειτουργική διάχυση""",Αρχή της διάκρισης των λειτουργιών,Β
1Γ-2025-20250527-1-24,Τα κωλύματα κατά το Σύνταγμα είναι ιδιότητες που ΔΕΝ επιτρέπουν:,"Α. ""Να ανακηρυχθεί κάποιος/α υποψήφιος/α βουλευτής""

Β. ""Να εκλεγεί κάποιος/α βουλευτής""

Γ. ""Να αναλάβει κάποιος/α υπουργικά καθήκοντα""

Δ. ""Να δώσει όρκο""",Να ανακηρυχθεί κάποιος/α υποψήφιος/α βουλευτής,Α
1Γ-2025-20250527-1-25,Σε ποιες από τις παρακάτω περιπτώσεις ΔΕΝ απαιτείται να δοθεί ψήφος εμπιστοσύνης προς την Κυβέρνηση;,"Α. ""Κατά τον διορισμό νέου/ας πρωθυπουργού μετά από παραίτηση του/της προηγούμενου/ης""

Β. ""Κατά τον διορισμό νέου/ας πρωθυπουργού μετά τον θάνατο του/της προηγούμενου/ης""

Γ. ""Κατά τη μεταβολή της σύνθεσης της Κυβέρνησης από τον/την πρωθυπουργό""

Δ. ""Σε καμία από τις λοιπές περιπτώσεις""",Κατά τη μεταβολή της σύνθεσης της Κυβέρνησης από τον/την πρωθυπουργό,Γ
1Γ-2025-20250527-1-26,Το ισχύον εκλογικό σύστημα είναι:,"Α. ""Η ενισχυμένη αναλογική""

Β. ""Το πλειοψηφικό""

Γ. ""Η καθαρή αναλογική""

Δ. ""Το πλειοψηφικό δύο γύρων""",Η ενισχυμένη αναλογική,Α
1Γ-2025-20250527-1-27,Πώς γίνεται η νομοθέτηση όταν η χώρα έχει κηρυχθεί σε «κατάσταση πολιορκίας»;,"Α. ""Με δημοψήφισμα""

Β. ""Με πράξεις νομοθετικού περιεχομένου""

Γ. ""Με την κανονική νομοπαραγωγική διαδικασία""

Δ. ""Με υπουργικές αποφάσεις""",Με πράξεις νομοθετικού περιεχομένου,Β
1Γ-2025-20250527-1-28,Τι σημαίνει σχετικώς αυστηρό Σύνταγμα;,"Α. ""Ότι οι διατάξεις του είναι πολύ αυστηρές""

Β. ""Ότι τροποποιείται δυσκολότερα απ' ό,τι ο νόμος""

Γ. ""Ότι δεν επιτρέπεται καμία τροποποίησή του""

Δ. ""Ότι επιτρέπεται η τροποποίησή του μόνο με δημοψήφισμα""","Ότι τροποποιείται δυσκολότερα απ’ ό,τι ο νόμος",Β
1Γ-2025-20250527-1-29,Κάθε διερευνητική εντολή διαρκεί το μέγιστο:,"Α. ""Τρεις (3) ημέρες""

Β. ""Επτά (7) ημέρες""

Γ. ""Μία (1) ημέρα""

Δ. ""Όσο προσδιορίσει ο/η Πρόεδρος της Δημοκρατίας""",Τρεις (3) ημέρες,Α
1Γ-2025-20250527-1-30,"Σε περίπτωση που συντρέχει ασυμβίβαστη ιδιότητα στο πρόσωπό του/της, ο/η εκλεγείς/είσα βουλευτής οφείλει:","Α. ""Να παραιτηθεί από την ασυμβίβαστη ιδιότητα εντός 8 ημερών αφότου η εκλογή του/της γίνει οριστική, άλλως εκπίπτει από το βουλευτικό αξίωμα""

Β. ""Να θέσει σε αναστολή την ασυμβίβαστη ιδιότητα αμέσως""

Γ. ""Να υποβάλει αίτηση στο Ανώτατο Ειδικό Δικαστήριο για τη διαπίστωση της ασυμβίβαστης ιδιότητας""

Δ. ""Να δηλώσει τη συνδρομή της ασυμβίβαστης ιδιότητας στον/στην Πρόεδρο της Βουλής""","Να παραιτηθεί από την ασυμβίβαστη ιδιότητα εντός 8 ημερών αφότου η εκλογή του/της γίνει οριστική, άλλως εκπίπτει από το βουλευτικό αξίωμα",Α
1Γ-2025-20250527-1-31,Οι υπουργοί διώκονται για πράξεις σχετικές με τα καθήκοντά τους:,"Α. ""Από το Μεικτό Ορκωτό Δικαστήριο""

Β. ""Από το Ανώτατο Ειδικό Δικαστήριο""

Γ. ""Από το Συμβούλιο της Επικρατείας""

Δ. ""Από το Ειδικό Δικαστήριο""",Από το Ειδικό Δικαστήριο,Δ
1Γ-2025-20250527-1-32,Η θητεία του/της Προέδρου της Δημοκρατίας είναι:,"Α. ""Πενταετής με δυνατότητα επανεκλογής για μία συνεχόμενη φορά""

Β. ""Εξαετής χωρίς δυνατότητα επανεκλογής""

Γ. ""Πενταετής με δυνατότητα επανεκλογής μία φορά""

Δ. ""Πενταετής με δυνατότητα επανεκλογής αλλά όχι για δεύτερη συνεχόμενη θητεία""",Πενταετής με δυνατότητα επανεκλογής μία φορά,Γ
1Γ-2025-20250527-1-33,Ο/Η Πρόεδρος της Δημοκρατίας πριν τη συνταγματική αναθεώρηση του 1986 μπορούσε:,"Α. ""Να διορίζει πρωθυπουργό της αρεσκείας του/της""

Β. ""Να διενεργήσει δημοψήφισμα για κρίσιμο εθνικό θέμα""

Γ. ""Να προτείνει υπουργούς""

Δ. ""Να επιλέγει τους προέδρους των ανεξαρτήτων αρχών από λίστα υποψηφίων που ετοίμαζε η Βουλή""",Να διενεργήσει δημοψήφισμα για κρίσιμο εθνικό θέμα,Β
1Γ-2025-20250527-1-34,Τα κανονιστικά διατάγματα:,"Α. ""Είναι πράξεις του/της Προέδρου της Δημοκρατίας""

Β. ""Είναι πράξεις της Κυβερνήσεως""

Γ. ""Εκδίδονται, όταν συνεδριάζει το Τμήμα διακοπής των εργασιών της Βουλής""

Δ. ""Δεν υπόκεινται σε δικαστικό έλεγχο""",Είναι πράξεις του/της Προέδρου της Δημοκρατίας,Α
1Γ-2025-20250527-1-35,Ο τυπικός νόμος είναι:,"Α. ""Ο νόμος που αφορά διαδικαστικά ζητήματα""

Β. ""Ο Κανονισμός της Βουλής""

Γ. ""Ο αφηρημένος κανόνας δικαίου""

Δ. ""Ο νόμος που ψηφίζεται από τη Βουλή και εκδίδεται και δημοσιεύεται από τον/την Πρόεδρο της Δημοκρατίας""",Ο νόμος που ψηφίζεται από τη Βουλή και εκδίδεται και δημοσιεύεται από τον/την Πρόεδρο της Δημοκρατίας,Δ
1Γ-2025-20250527-1-36,Ο λαός υπό τη στενή συνταγματική του έννοια είναι:,"Α. ""Όργανο του Κράτους""

Β. ""Μόνον όσοι/ες κατοικούν στην Ελλάδα""

Γ. ""Μόνον όσοι/ες είναι ορθόδοξοι στο θρήσκευμα""

Δ. ""Μόνον όσοι/ες έχουν ελληνική συνείδηση""",Όργανο του Κράτους,Α
1Γ-2025-20250527-1-37,Το Σύνταγμα προβλέπει:,"Α. ""Δύο είδη δημοψηφισμάτων""

Β. ""Ένα είδος δημοψηφίσματος""

Γ. ""Δημοψήφισμα για την εκκίνηση της διαδικασίας αναθεώρησης του Συντάγματος""

Δ. ""Δημοψήφισμα μετά από λαϊκή πρωτοβουλία""",Δύο είδη δημοψηφισμάτων,Α
1Γ-2025-20250527-1-38,Οι βουλευτικές εκλογές διεξάγονται ταυτόχρονα:,"Α. ""Σε όλη την επικράτεια""

Β. ""Στην Ελλάδα και στο εξωτερικό""

Γ. ""Με τις δημοτικές εκλογές""

Δ. ""Με τις ευρωεκλογές""",Σε όλη την επικράτεια,Α
1Γ-2025-20250527-1-39,Οι διατάξεις του Συντάγματος:,"Α. ""Είναι όλες θεμελιώδεις""

Β. ""Είναι ισόκυρες""

Γ. ""Δεν ισχύουν σε περίπτωση έκτακτης ανάγκης""

Δ. ""Είναι όλες αμετάβλητες""",Είναι ισόκυρες,Β
1Γ-2025-20250527-1-40,Δημοψήφισμα μπορεί να προκηρυχθεί:,"Α. ""Για την αναθεώρηση του Συντάγματος""

Β. ""Για ψηφισμένο νομοσχέδιο""

Γ. ""Με απόφαση του λαού""

Δ. ""Για την εκλογή του/της ΠτΔ""",Για ψηφισμένο νομοσχέδιο,Β
1Γ-2025-20250527-1-41,Η υπηρεσιακή Κυβέρνηση:,"Α. ""Διενεργεί εκλογές""

Β. ""Επιλέγεται από τον/την Πρωθυπουργό""

Γ. ""Έχει ως Πρωθυπουργό τον/την Πρόεδρο του Συμβουλίου της Επικρατείας""

Δ. ""Δεν προβλέπεται συνταγματικά, αλλά μόνον εθιμικά""",Διενεργεί εκλογές,Α
1Γ-2025-20250527-1-42,Ο/Η Πρόεδρος της Δημοκρατίας:,"Α. ""Έχει πενταετή θητεία""

Β. ""Εκλέγεται άμεσα από τον λαό""

Γ. ""Έχει μόνον εκτελεστικές αρμοδιότητες""

Δ. ""Διορίζει την ηγεσία των ανωτάτων δικαστηρίων""",Έχει πενταετή θητεία,Α
1Γ-2025-20250527-1-43,Στην Προεδρευόμενη Κοινοβουλευτική Δημοκρατία:,"Α. ""Ο/Η Πρόεδρος της Δημοκρατίας έχει ισχυρό εκτελεστικό ρόλο""

Β. ""Η Κυβέρνηση εξαρτάται από την εμπιστοσύνη της Βουλής""

Γ. ""Ο/Η Πρωθυπουργός διορίζει την Κυβέρνησή του/της""

Δ. ""Ο/Η Πρόεδρος της Δημοκρατίας είναι και Πρόεδρος της Κυβέρνησης""",Η Κυβέρνηση εξαρτάται από την εμπιστοσύνη της Βουλής,Β
1Γ-2025-20250527-1-44,Ο/Η Πρόεδρος της Δημοκρατίας:,"Α. ""Είναι εγγυητής του πολιτεύματος""

Β. ""Είναι ρυθμιστής του πολιτεύματος""

Γ. ""Εκλέγεται άμεσα από τον λαό""

Δ. ""Διαλύει τη Βουλή όταν κρίνει ότι η σύνθεσή της δεν ανταποκρίνεται στο λαϊκό αίσθημα""",Είναι ρυθμιστής του πολιτεύματος,Β
1Γ-2025-20250527-1-45,Η ψήφος εμπιστοσύνης στην Κυβέρνηση:,"Α. ""Δίνεται μόνο μετά από τη διενέργεια εκλογών""

Β. ""Προϋποθέτει την απόλυτη πλειοψηφία του συνόλου των βουλευτών""

Γ. ""Δίνεται κάθε δύο χρόνια""

Δ. ""Είναι έκφανση της κοινοβουλευτικής αρχής""",Είναι έκφανση της κοινοβουλευτικής αρχής,Δ
1Γ-2025-20250527-1-46,Το εκλογικό σύστημα της απλής αναλογικής:,"Α. ""Είναι αντισυνταγματικό""

Β. ""Είναι συνταγματικό""

Γ. ""Διευκολύνει τον σχηματισμό ισχυρών μονοκομματικών Κυβερνήσεων""

Δ. ""Δεν έχει εφαρμοστεί ποτέ στην Ελλάδα""",Είναι συνταγματικό,Β
1Γ-2025-20250527-1-47,Στην αναθεώρηση του 2008:,"Α. ""Καταργήθηκε το γενικό επαγγελματικό ασυμβίβαστο των βουλευτών""

Β. ""Κατοχυρώθηκαν συνταγματικά οι ανεξάρτητες αρχές""

Γ. ""Καταργήθηκαν οι «υπερεξουσίες» του/της Προέδρου της Δημοκρατίας""

Δ. ""Κατοχυρώθηκε η λαϊκή νομοθετική πρωτοβουλία""",Καταργήθηκε το γενικό επαγγελματικό ασυμβίβαστο των βουλευτών,Α
1Γ-2025-20250527-1-48,Η αναθεώρηση του 2001:,"Α. ""Ήταν η πιο εκτενής από όλες τις αναθεωρήσεις του Συντάγματος του 1975""

Β. ""Κατήργησε τις «υπερεξουσίες» του/της Προέδρου της Δημοκρατίας""

Γ. ""Άλλαξε το πολίτευμα σε «πρωθυπουργοκεντρικό»""

Δ. ""Ολοκληρώθηκε σε μια και μόνο Βουλή""",Ήταν η πιο εκτενής από όλες τις αναθεωρήσεις του Συντάγματος του 1975,Α
1Γ-2025-20250527-1-49,Ποιος ασκεί αδέσμευτη νομικά εξουσία;,"Α. ""Η συντακτική βουλή ή εθνοσυνέλευση""

Β. ""Η Ευρωπαϊκή Επιτροπή""

Γ. ""Ο/Η Πρόεδρος της Δημοκρατίας""

Δ. ""Η Βουλή""",Η συντακτική βουλή ή εθνοσυνέλευση,Α
1Γ-2025-20250527-1-50,Η εκτελεστική λειτουργία ασκείται:,"Α. ""Από την Κυβέρνηση και τον/την Πρόεδρο της Δημοκρατίας""

Β. ""Από τη Βουλή""

Γ. ""Μόνο από την Κυβέρνηση""

Δ. ""Από τον/την Πρόεδρο της Δημοκρατίας""",Από την Κυβέρνηση και τον/την Πρόεδρο της Δημοκρατίας,Α
1Γ-2025-20250527-1-51,"Στη Βουλή και την Κυβέρνηση, η οποία διαθέτει την πλειοψηφία σε αυτήν, μεταφέρθηκαν ορισμένες από τις ρυθμιστικές αρμοδιότητες του/της Προέδρου της Δημοκρατίας που αφαιρέθηκαν με τη συνταγματική αναθεώρηση του/της:","Α. ""1975""

Β. ""1986""

Γ. ""2001""

Δ. ""2019""",1986,Β
1Γ-2025-20250527-1-52,"Ο/Η Πρόεδρος της Δημοκρατίας, με:","Α. ""Πρόταση του/της Πρωθυπουργού, διορίζει και παύει τα λοιπά μέλη της Κυβέρνησης και τους/τις Υφυπουργούς""

Β. ""Πρόταση του/της αρμόδιου/ας Υπουργού, διορίζει και παύει τους/τις Υφυπουργούς""

Γ. ""Κοινή πρόταση του/της Πρωθυπουργού και του/της καθ' ύλην αρμόδιου/ας Υπουργού, διορίζει και παύει τους/τις Γενικούς/ές και Ειδικούς/ές Γραμματείς των υπουργείων""

Δ. ""Κοινή πρόταση του/της Πρωθυπουργού και του/της οικείου/ας Υπουργού, διορίζει και παύει τους/τις Υφυπουργούς""","Πρόταση του/της Πρωθυπουργού, διορίζει και παύει τα λοιπά μέλη της Κυβέρνησης και τους/τις Υφυπουργούς",Α
1Γ-2025-20250527-1-53,Η δικαστική λειτουργία ασκείται:,"Α. ""Από τον/την Πρόεδρο της Δημοκρατίας""

Β. ""Από τα δικαστήρια""

Γ. ""Από τον/την Προέδρο της Δημοκρατίας και τα δικαστήρια""

Δ. ""Από τους/τις δικαστές και τους/τις ενόρκους""",Από τα δικαστήρια,Β
1Γ-2025-20250527-1-54,Ο δικαστικός έλεγχος της συνταγματικότητας των νόμων είναι:,"Α. ""Διάχυτος και παρεμπίπτων""

Β. ""Μεθοδικός και αυστηρός""

Γ. ""Προληπτικός""

Δ. ""Αφηρημένος""",Διάχυτος και παρεμπίπτων,Α
1Γ-2025-20250527-1-55,Τα δικαστήρια υποχρεούνται να μην εφαρμόζουν νόμο:,"Α. ""Αντίθετο προς το Σύνταγμα κατά το περιεχόμενό του""

Β. ""Που ψηφίστηκε με αντισυνταγματική διαδικασία""

Γ. ""Αντίθετο προς το δημόσιο συμφέρον""

Δ. ""Που είχε ψηφιστεί πριν τη θέση σε ισχύ του Συντάγματος του 1975""",Αντίθετο προς το Σύνταγμα κατά το περιεχόμενό του,Α
1Γ-2025-20250527-1-56,Το Ανώτατο Ειδικό Δικαστήριο δύναται:,"Α. ""Να κηρύξει ανίσχυρο τον αντισυνταγματικό νόμο""

Β. ""Να μην εφαρμόσει τον αντισυνταγματικό νόμο""

Γ. ""Να ακυρώσει κανονιστική πράξη""

Δ. ""Να γνωμοδοτεί προς τη Βουλή για ζητήματα συνταγματικότητας""",Να κηρύξει ανίσχυρο τον αντισυνταγματικό νόμο,Α
1Γ-2025-20250527-1-57,Ο έλεγχος της συνταγματικότητας από δημοσίους υπαλλήλους:,"Α. ""Απαγορεύεται σε κάθε περίπτωση""

Β. ""Ανήκει μόνο στους/στις προϊσταμένους/ες τους""

Γ. ""Προϋποθέτει άδεια του/της προϊσταμένου/ης τους""

Δ. ""Είναι υποχρεωτικός, όταν μία διάταξη είναι προδήλως αντίθετη προς το Σύνταγμα""","Είναι υποχρεωτικός, όταν μία διάταξη είναι προδήλως αντίθετη προς το  Σύνταγμα",Δ
1Γ-2025-20250527-1-58,Για να διοριστεί κάποιος/α σε θέση στη δημόσια διοίκηση πρέπει:,"Α. ""Να είναι κάτοχος τουλάχιστον απολυτηρίου Λυκείου""

Β. ""Να μην έχει καταδικαστεί σε οποιαδήποτε αδίκημα""

Γ. ""Να είναι Έλληνας/ίδα πολίτης και να έχει συμπληρώσει το 20° έτος ηλικίας""

Δ. ""Να είναι Έλληνας/ίδα πολίτης ή πολίτης χώρας της Ευρωπαϊκής Ένωσης""",Να είναι Έλληνας/ίδα πολίτης ή πολίτης χώρας της Ευρωπαϊκής Ένωσης,Δ
