id,question,answers,best_answer,best_answer_index
72,Οι πτυχές του περιτοναίου που συμβάλουν στην στήριξη του στομάχου είναι:,"Α. ""Το μείζον επίπλουν, το έλασσον επίπλουν, ο γαστροφρενικός σύνδεσμος, ο γαστροκολικός σύνδεσμος και ο γαστροσπληνικός σύνδεσμος""

Β. ""Το μείζον επίπλουν, το έλασσον επίπλουν και ο γαστροφρενικός σύνδεσμος""

Γ. ""Το μείζον επίπλουν και το έλασσον επίπλουν""

Δ. ""Ο γαστροφρενικός σύνδεσμος, ο γαστροκολικός σύνδεσμος και ο γαστροσπληνικός σύνδεσμος""

Ε. ""Το μείζον επίπλουν, το έλασσον επίπλουν, ο γαστροφρενικός σύνδεσμος και ο γαστροσπληνικός σύνδεσμος""","Το μείζον επίπλουν, το έλασσον επίπλουν, ο γαστροφρενικός σύνδεσμος και ο γαστροσπληνικός σύνδεσμος",Ε
84,Ποιο από τα παρακάτω είναι σωστό για τους συνδέσμους της μήτρας,"Α. ""αποτελούν τα στηρίγματα της μήτρας""

Β. ""είναι οι ιερομητρικοί και οι στρογγύλοι σύνδεσμοι""

Γ. ""οι ιερομητρικοί σύνδεσμοι εκφύονται από προσθία επιφάνεια του ιερού οστού και καταφύονται στην οπισθία επιφάνεια της μήτρας""

Δ. ""οι ιερομητρικοί σύνδεσμοι, αποτελούν το υπόθεμα του ευθυμητρικού κολπώματος""

Ε. ""όλα τα ανωτέρω""",οι ιερομητρικοί σύνδεσμοι εκφύονται από προσθία επιφάνεια του ιερού οστού και καταφύονται στην οπισθία επιφάνεια της μήτρας,Γ
88,Τι από τα παρακάτω ισχύει για τους ωαγωγούς,"Α. ""το ένα άκρο κάθε ωαγωγού εκβάλλει στην μήτρα και το άλλο ακουμπά στην σύστοιχη ωοθήκη""

Β. ""εμφανίζουν μητριαία και ωοθηκική μοίρα""

Γ. ""είναι εξωπεριτοναϊκά όργανα""

Δ. ""έρχονται σε σχέση με την πυελική μοίρα του ουρητήρα""

Ε. ""όλα τα ανωτέρω""",το ένα άκρο κάθε ωαγωγού εκβάλλει στην μήτρα και το άλλο ακουμπά στην σύστοιχη ωοθήκη,Α
94,Το ήπαρ δέχεται διπλή αιμάτωση από:,"Α. ""την ιδίως ηπατική αρτηρία και την κάτω κοίλη φλέβα""

Β. ""την ηπατική αρτηρία και την πυλαία φλέβα""

Γ. ""την κοινή ηπατική αρτηρία και την ιδίως ηπατική αρτηρία""

Δ. ""την πυλαία φλέβα και την άνω μεσεντέριο αρτηρία""

Ε. ""κανένα από τα ανωτέρω""",την ηπατική αρτηρία και την πυλαία φλέβα,Β
97,Στον γαστροσπληνικό σύνδεσμο:,"Α. ""Πορεύονται τα βραχέα γαστρικά αγγεία και η αριστερή γαστροεπιπλοϊκή αρτηρία""

Β. ""Πορεύονται η σπληνική αρτηρία και η σπληνική φλέβα""

Γ. ""Πορεύονται η πυλαία φλέβα και η αριστερή γαστροεπιπλοϊκή αρτηρία""

Δ. ""ΑΓ""

Ε. ""Όλα τα παραπάνω""",Πορεύονται τα βραχέα γαστρικά αγγεία και η αριστερή γαστροεπιπλοϊκή αρτηρία,Α
98,Ο μείζων θωρακικός πόρος:,"Α. ""Ανεβαίνει στο μέσο μεσοθωράκιο μεταξύ της θωρακικής αορτής και της άζυγης φλέβας""

Β. ""Περνά μέσα από το οισοφαγικό τρήμα του διαφράγματος""

Γ. ""Παροχετεύει την χυλοφόρο δεξαμενή, η οποία βρίσκεται μπροστά από τον Θ12 σπόνδυλο, πίσω και δεξιά από την αορτή""

Δ. ""Ανεβαίνει στο πρόσθιο μεσοθωράκιο μεταξύ της θωρακικής αορτής και της άζυγης φλέβας""

Ε. ""Κανένα από τα παραπάνω""","Παροχετεύει την χυλοφόρο δεξαμενή, η οποία βρίσκεται μπροστά από τον Θ12 σπόνδυλο, πίσω και δεξιά από την αορτή",Γ
99,Ποια από τις παρακάτω προτάσεις είναι σωστή:,"Α. ""Η συνολική λέμφος του στομάχου παροχετεύεται στους κοιλιακούς λεμφαδένες""

Β. ""Η λέμφος από την περιοχή του ελάσσονος τόξου και της μεγαλύτερης έκτασης του σώματος παροχετεύεται στους δεξιούς γαστρικούς λεμφαδένες""

Γ. ""Η λέμφος της πυλωρικής μοίρας του στομάχου παροχετεύεται στους αριστερούς γαστρικούς λεμφαδένες""

Δ. ""Καμμία από τις παραπάνω""

Ε. ""Όλες οι παραπάνω""",Η συνολική λέμφος του στομάχου παροχετεύεται στους κοιλιακούς λεμφαδένες,Α
102,Οι πρόσθιες σχέσεις του αριστερού νεφρού είναι:,"Α. ""Ο σπλήνας""

Β. ""Το πάγκρεας""

Γ. ""Ο στόμαχος""

Δ. ""Κανένα από τα παραπάνω""

Ε. ""Όλα τα παραπάνω""",Όλα τα παραπάνω,Ε
107,Ποιο από τα παρακάτω είναι σωστό;,"Α. ""Το τμήμα της ουρήθρας που διαπερνά τον προστάτη αδένα ονομάζεται προστατική μοίρα της ουρήθρας""

Β. ""Το τμήμα της ουρήθρας που διαπερνά το σηραγγώδες σώμα ονομάζεται υμενώδης μοίρα της ουρήθρας""

Γ. ""Το τμήμα της ουρήθρας που διαπερνά το ουρογεννητικό τρίγωνο ονομάζεται υμενώδης μοίρα της ουρήθρας""

Δ. ""Όλα τα παραπάνω""

Ε. ""Κανένα από τα παραπάνω""",Το τμήμα της ουρήθρας που διαπερνά τον προστάτη αδένα ονομάζεται προστατική μοίρα της ουρήθρας,Α
108,Ποιος από τους παρακάτω χιτώνες του όρχεως δεν αποτελεί προσεκβολή του κοιλιακού τοιχώματος και δεν επικοινωνεί με την κοιλιακή κοιλότητα;,"Α. ""Ο ίδιος ελυτροειδής""

Β. ""Ο έξω κρεμαστήρας""

Γ. ""Ο δαρτός""

Δ. ""Τα 1 και 3""

Ε. ""Κανένα από τα παραπάνω""",Ο δαρτός,Γ
111,Ποια από τις παρακάτω προτάσεις είναι σωστή:,"Α. ""Ο οπίσθιος λοβός του προστάτη αδένα βρίσκεται πίσω από την ουρήθρα""

Β. ""Ο οπίσθιος λοβός του προστάτη αδένα βρίσκεται πίσω από τις σπερματοδόχες κύστεις""

Γ. ""Ο δεξιός και αριστερός λοβός του προστάτη αδένα βρίσκονται πίσω από την ουρήθρα""

Δ. ""Όλα τα παραπάνω""

Ε. ""Κανένα από τα παραπάνω""",Ο οπίσθιος λοβός του προστάτη αδένα βρίσκεται πίσω από την ουρήθρα,Α
117,Οι μείζονες ή βαρθολίνειοι αδένες του προδόμου:,"Α. ""Βρίσκονται στα πλάγια του στομίου της ουρήθρας""

Β. ""Εκβάλλουν δεξιά και αριστερά στον πρόδομο του κολεού""

Γ. ""Αποτελούνται από στητικό ιστό""

Δ. ""Όλα τα παραπάνω""

Ε. ""Κανένα από τα παραπάνω""",Εκβάλλουν δεξιά και αριστερά στον πρόδομο του κολεού,Β
121,Η πρόσθια επιφάνεια της καρδιάς:,"Α. ""Αντιστοιχεί στην στερνοπλευρική επιφάνεια της καρδιάς""

Β. ""Σχηματίζεται κυρίως από τη δεξιά κοιλία""

Γ. ""Είναι ορατή σε οπισθοπρόσθιες ακτινογραφίες του θώρακα""

Δ. ""Όλα τα παραπάνω""

Ε. ""Κανένα από τα παραπάνω""",Σχηματίζεται κυρίως από τη δεξιά κοιλία,Β
123,Ποια από τις παρακάτω προτάσεις είναι σωστή:,"Α. ""Ο δεξιά κοιλία βρίσκεται πίσω από την αριστερή κοιλία""

Β. ""Η κορυφή της καρδιάς σχηματίζεται από την αριστερή κοιλία""

Γ. ""Η καρδιά βρίσκεται ελεύθερη μέσα στο περικάρδιο""

Δ. ""Όλες οι παραπάνω""

Ε. ""Καμμία από τις παραπάνω""",Η κορυφή της καρδιάς σχηματίζεται από την αριστερή κοιλία,Β
124,Ποια από τις παρακάτω προτάσεις είναι σωστή :,"Α. ""Το εσωτερικό του κόλπου είναι ομαλό εκτός από την περιοχή του ωτίου, που εμφανίζει μυϊκές δοκίδες""

Β. ""Οι θηλοειδείς μυς βρίσκονται στο εσωτερικό των κόλπων""

Γ. ""Κατά την διάρκεια της κοιλιακής συστολής οι κολποκοιλιακές γλωχίνες απωθούνται και το αίμα εισέρχεται στις αρτηρίες""

Δ. ""Όλες οι παραπάνω""

Ε. ""Καμμία από τις παραπάνω""","Το εσωτερικό του κόλπου είναι ομαλό εκτός από την περιοχή του ωτίου, που εμφανίζει μυϊκές δοκίδες",Α
129,Ποια από τις παρακάτω διαπιστώσεις για τον δεξιό κόλπο της καρδιάς είναι σωστή:,"Α. ""Η τριγλώχινα βαλβίδα αποφράσσει το δεξιό κολπολοιλιακό στόμιο""

Β. ""Η άνω κοίλη φλέβα εκβάλλει στο άνω και πίσω τμήμα""

Γ. ""Υποδέχεται το φλεβικό αίμα από το στεφανιαίο κόλπο""

Δ. ""Όλες οι παραπάνω""

Ε. ""Καμμία από τις παραπάνω""",Η τριγλώχινα βαλβίδα αποφράσσει το δεξιό κολπολοιλιακό στόμιο,Α
138,Ποια από τις παρακάτω προτάσεις είναι σωστή:,"Α. ""Μεταξύ των κοιλιαίων πτυχών και των φωνητικών πτυχών παρουσιάζεται η λαρυγγική κοιλία""

Β. ""Η κάτω μοίρα του λάρυγγα μεταπίπτει στην κοιλότητα του φάρυγγα""

Γ. ""Η σχισμή της γλωττίδας είναι μια θυρίδα μεταξύ των κοιλιαίων πτυχών""

Δ. ""Όλα τα παραπάνω""

Ε. ""Κανένα από τα παραπάνω""",Μεταξύ των κοιλιαίων πτυχών και των φωνητικών πτυχών παρουσιάζεται η λαρυγγική κοιλία,Α
146,Ποια από τις παρακάτω προτάσεις είναι σωστή:,"Α. ""Ο υπεζωκοτικός θόλος επαλείφει την κορυφή του πνεύμονα""

Β. ""Ο πλευροδιαφραγματικός κόλπος σχηματίζεται από την ανάκαμψη υπό οξεία γωνία του προσθίου χείλους του πλευρικού υπεζωκότα προς το μεσοπνευμόνιο υπεζωκότα""

Γ. ""Κατά την ήρεμη αναπνοή οι κόλποι του υπεζωκότα καταλαμβάνονται από τους πνεύμονες""

Δ. ""Α+Γ""

Ε. ""Όλα τα παραπάνω""",Ο υπεζωκοτικός θόλος επαλείφει την κορυφή του πνεύμονα,Α
154,Η αριστερή στεφανιαία αρτηρία χορηγεί:,"Α. ""Πρόσθιο κατιόντα κλάδο και περισπώμενο κλάδο""

Β. ""Πρόσθιο κατιόντα και οπίσθιο κατιόντα κλάδο""

Γ. ""Περισπώμενο και οπίσθιο κατιόντα κλάδο""

Δ. ""Δύο πρόσθιους κατιόντες κλάδους και έναν οπίσθιο""

Ε. ""Ένα πρόσθιο κατιόντα κλάδο και δύο οπισθίους""",Πρόσθιο κατιόντα κλάδο και περισπώμενο κλάδο,Α
163,Πόσα στενώματα παρουσιάζει ο οισοφάγος;,"Α. ""Δύο""

Β. ""Τρία""

Γ. ""Τέσσερα""

Δ. ""Πέντε""

Ε. ""Ποικίλο αριθμό""",Τέσσερα,Γ
166,Ποιά από τις παρακάτω περιοχές της λευκής ουσίας ΔΕΝ περιέχει φλοιονωτιαίες ίνες:,"Α. ""Πυραμίδα του προμήκους""

Β. ""Πλάγια δέσμη του νωτιαίου μυελού""

Γ. ""Εγκεφαλικό σκέλος του μέσου εγκεφάλου""

Δ. ""Πρόσθιο σκέλος της έσω κάψας""

Ε. ""Κανένα από τα παραπάνω""",Πρόσθιο σκέλος της έσω κάψας,Δ
176,Ασθενής παρουσιάζει βράγχος φωνής με σύγχρονη μονόπλευρη παράλυση του στερνοκλειδομαστοειδούς και του τραπεζοειδούς μυός συνεπεία βλάβης:,"Α. ""του γλωσσοφαρυγγικού νεύρου""

Β. ""του άνω λαρυγγικού νεύρου""

Γ. ""του προσωπικού νέυρου""

Δ. ""του παραπληρωματικού νεύρου""

Ε. ""του υπογλωσσίου νεύρου""",του παραπληρωματικού νεύρου,Δ
179,Όλα τα παραπάνω χαρακτηρίζουν το φρενικό νεύρο εκτός ενός:,"Α. ""εκπορεύεται από το Α3-Α5 νευροτόμιο""

Β. ""διέρχεται δια του αορτικού τρήματος του διαφράγματος""

Γ. ""νευρώνει το διαφραγματικό περιτόναιο""

Δ. ""νευρώνει το περικάρδιο""

Ε. ""συμμετέχει στο πλέγμα της κάτω φρενικής αρτηρίας""",διέρχεται δια του αορτικού τρήματος του διαφράγματος,Β
181,Ο υποθάλαμος αποτελείται από,"Α. ""τα μαστία, την υπόφυση και το οπτικό χίασμα""

Β. ""το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως, τα μαστία""

Γ. ""το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως,την υπόφυση, τα μαστία""

Δ. ""το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως,την υπόφυση, τα μαστία, την οπισθία διάτρητο ουσία""

Ε. ""το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως,την υπόφυση, τα μαστία""","το τελικό πέταλο, το οπτικό χίασμα, το φαιό φύμα, την χοάνη της υποφύσεως,την υπόφυση, τα μαστία",Γ
182,Ποιο από τα ακόλουθα μορφώματα ΔΕΝ ανήκει στον μετωπιαίο λοβό,"Α. ""η άνω μετωπιαία αύλακα""

Β. ""η μεσολόβια αύλακα""

Γ. ""η οπίσθια κεντρική έλικα""

Δ. ""η προσθία κεντρική αύλακα""

Ε. ""το παράκεντρο λόβιο""",η οπίσθια κεντρική έλικα,Γ
187,Σε ποιο κρανιακό νεύρο ανήκει ο κάτω σιαλικός πυρήνας,"Α. ""στο γλωσσοφαρυγγικό""

Β. ""στο ακουστικό""

Γ. ""στο τροχιλιακό""

Δ. ""στο κοινό κινητικό""

Ε. ""σε κανένα από τα παραπάνω""",στο γλωσσοφαρυγγικό,Α
188,Η υπόφυση βρίσκεται:,"Α. ""Μπροστά από το οπτικό χίασμα""

Β. ""Στον υποθάλαμο""

Γ. ""Στον επιθάλαμο""

Δ. ""Μπροστά από την παρεγκεφαλίδα""

Ε. ""Στον βόθρο του τουρκικού εφιππίου""",Στον βόθρο του τουρκικού εφιππίου,Ε
190,Το εγκεφαλονωτιαίο υγρό από την τετάρτη κοιλία μεταβαίνει:,"Α. ""Στην τρίτη (μέση) κοιλία""

Β. ""Στο μέσο κοιλιακό τρήμα (του Monro)""

Γ. ""Στον υπαραχνοειδή χώρο""

Δ. ""Στον υποσκληρίδιο χώρο""

Ε. ""Στον επισκληρίδιο χώρο""",Στον υπαραχνοειδή χώρο,Γ
191,Ποια από τις επόμενες δομές δεν διαθέτει αγγεία;,"Α. ""H xοριοειδής μήνιγγα""

Β. ""Η σκληρή μήνιγγα""

Γ. ""Η αραχνοειδής μήνιγγα""

Δ. ""Το χοριοειδές πλέγμα""

Ε. ""Το ακτινωτό σώμα""",Η αραχνοειδής μήνιγγα,Γ
202,Τι διέρχεται μέσω του κοινού τενοντίου δακτυλίου;,"Α. ""Το οπτικό νεύρο""

Β. ""Ο καταφυτικός τένοντας του άνω λόξου μυός""

Γ. ""Ο εκφορητικός πόρος του δακρυϊκού αδένα""

Δ. ""Ο δακρυορρινικός πόρος""

Ε. ""Οι μακρές οπίσθιες ακτινοειδείς αρτηρίες""",Το οπτικό νεύρο,Α
204,Η εστίαση των οπτικών ακτίνων στην ωχρή κηλίδα οφείλεται κυρίως:,"Α. ""Στον φακό""

Β. ""Στην ίριδα""

Γ. ""Στο ακτινωτό σώμα""

Δ. ""Στο υαλοειδές σώμα""

Ε. ""Στον κερατοειδή χιτώνα""",Στον κερατοειδή χιτώνα,Ε
207,Τα ακουστικά οστάρια συγκρατούνται στη θέση τους:,"Α. ""Με αρθρικούς θυλάκους""

Β. ""Με τον τείνοντα το τύμπανο μυ""

Γ. ""Με συνδέσμους""

Δ. ""Με την έσω λέμφο""

Ε. ""Με την έξω λέμφο""",Με συνδέσμους,Γ
208,Το τυμπανικό νεύρο αποτελεί κλάδο:,"Α. ""Του προσωπικού νεύρου""

Β. ""Του γλωσσοφαρυγγικού νεύρου""

Γ. ""Του κοινού κινητικού πόρου""

Δ. ""Του τριδύμου νεύρου""

Ε. ""Του αιθουσαίου νεύρου""",Του γλωσσοφαρυγγικού νεύρου,Β
213,Το αίμα ανήκει:,"Α. ""στον επιθηλιακό ιστό""

Β. ""στον μυικό ιστό""

Γ. ""στον ερειστικό ιστό""

Δ. ""στους υγρούς ιστούς""

Ε. ""σε κανένα από τους παραπάνω""",στους υγρούς ιστούς,Δ
221,Παλίνδρομες αρτηρίες είναι:,"Α. ""οι αρτηρίες που δεν συνάπτουν αναστομώσεις""

Β. ""οι αρτηρίες που αναλύονται σε τριχοειδή""

Γ. ""η έκφυσή τους γίνεται υπό γωνία που στρέφεται προς την καρδιά""

Δ. ""οι αρτηρίες που αναστομώνονται με φλέβες""

Ε. ""οι αρτηρίες των άκρων""",η έκφυσή τους γίνεται υπό γωνία που στρέφεται προς την καρδιά,Γ
224,Το νευρείλημα είναι:,"Α. ""το πρωτόπλασμα του νευρικού κυττάρου""

Β. ""ένα από τα περιβλήματα του νευρίτη""

Γ. ""οργανίδιο του νευρικού κυττάρου""

Δ. ""η μεσοκυττάρια ουσία του νευρικού ιστού""

Ε. ""τίποτε από τα παραπάνω""",ένα από τα περιβλήματα του νευρίτη,Β
225,Ο νευρίτης είναι:,"Α. ""η λειτουργική και ανατομική μονάδα του νευρικού ιστού""

Β. ""αποφυάδα των νευρογλοιακών κυττάρων""

Γ. ""η μακρύτερη αποφυάδα του νευρικού κυττάρου""

Δ. ""νευρογλοιακό κύτταρο""

Ε. ""όλα τα ανωτέρω είναι λάθος""",η μακρύτερη αποφυάδα του νευρικού κυττάρου,Γ
229,Βαλβίδες απαντούν:,"Α. ""μόνο στις φλέβες""

Β. ""σ΄ όλες τις μορφές των αγγείων""

Γ. ""μόνον στις φλέβες και στα λεμφαγγεία""

Δ. ""μόνο στα μεγάλα λεμφικά στελέχη""

Ε. ""όλα τα ανωτέρω είναι σωστά""",μόνον στις φλέβες και στα λεμφαγγεία,Γ
230,Ο μέσος χιτώνας των αρτηριών χαρακτηρίζεται από την ύπαρξη:,"Α. ""μόνον μυικών στοιχείων""

Β. ""μόνον ελαστικών στοιχείων""

Γ. ""μυϊκών και ελαστικών στοιχείων""

Δ. ""μόνον συνδετικού ιστού""

Ε. ""μόνον κολλαγόνων ινιδίων""",μυϊκών και ελαστικών στοιχείων,Γ
233,Ίππουρις:,"Α. ""ονομάζεται η τελική μοίρα του νωτιαίου μυελού""

Β. ""αποτελεί μόρφωμα του ανώνυμου οστού""

Γ. ""βρίσκεται κατά μήκος της τοξοειδούς γραμμής""

Δ. ""συγκροτείται από τις τελευταίες ρίζες των νωτιαίων νεύρων""

Ε. ""τίποτε από τα ανωτέρω""",συγκροτείται από τις τελευταίες ρίζες των νωτιαίων νεύρων,Δ
235,Στον οπισθοπεριτοναϊκό χώρο ανήκουν τα παρακάτω όργανα εκτός από ένα:,"Α. ""νεφροί""

Β. ""κάτω κοίλη φλέβα""

Γ. ""χυλοφόρος δεξαμενή""

Δ. ""ήπαρ""

Ε. ""κοιλιακή αορτή""",ήπαρ,Δ
237,Οι ορογόνοι θύλακοι:,"Α. ""αποτελούν προσεκβολές του αρθρικού υμένα επί τα εντός της αρθρώσεως""

Β. ""αποτελούν ένα από τα επικουρικά μόρια των αρθρώσεων""

Γ. ""είναι υμένες που καλύπτουν εσωτερικά τα κοίλα σπλάγχνα""

Δ. ""ανήκουν στα επικουρικά μόρια των μυών""

Ε. ""όλα τα ανωτέρω είναι λανθασμένα""",ανήκουν στα επικουρικά μόρια των μυών,Δ
240,Πτώση του άκρου ποδιού οφείλεται σε βλάβη του:,"Α. ""Κνημιαίου νεύρου""

Β. ""Κοινού περονιαίου νεύρου""

Γ. ""Οπισθίου μηροδερματικού νεύρου""

Δ. ""Νεύρου του τετράγωνου μηριαίου μυός""

Ε. ""Γαστροκνημιαίου νεύρου""",Κοινού περονιαίου νεύρου,Β
247,Σημειώστε τη σωστή ανατομική σχέση:,"Α. ""υποκροτάφιος βόθρος – τρίτος κλάδος του τριδύμου""

Β. ""πτερυγοϋπερώιος βόθρος – πρώτος κλάδος του τριδύμου""

Γ. ""κροταφικός βόθρος- έσω γναθιαία αρτηρία""

Δ. ""πτερυγοειδής βόθρος – έξω πτερυγοειδής μυς""

Ε. ""κονδυλικός βόθρος – μασητήρας μυς""",υποκροτάφιος βόθρος – τρίτος κλάδος του τριδύμου,Α
252,Στην κορυφή της περόνης προσφύεται:,"Α. ""ο τένοντας του τετρακέφαλου μηριαίου μυός""

Β. ""ο τένοντας του οπισθίου κνημιαίου μυός""

Γ. ""ο τένοντας του δικεφάλου μηριαίου μυός""

Δ. ""ο τένοντας του περονιαίου μυός""

Ε. ""ο τένοντας του ιγνυακού μυός""",ο τένοντας του δικεφάλου μηριαίου μυός,Γ
254,Λέγοντας μυική απονεύρωση εννοούμε:,"Α. ""τη γαστέρα του μυός""

Β. ""την πορεία ενός νεύρου σε σχέση με τον μυ""

Γ. ""βλάβη ή διατομή ενός νεύρου""

Δ. ""τον τένοντα του μυός όταν είναι πλατύς""

Ε. ""μία περιοχή η οποία στερείται νεύρωσης.""",τον τένοντα του μυός όταν είναι πλατύς,Δ
264,Η ανύψωση του βραχίονα πάνω από την οριζόντια θέση παρεμποδίζεται:,"Α. ""από τον κορακοβραχιόνιο σύνδεσμο""

Β. ""από τον κορακοκλειδικό σύνδεσμο""

Γ. ""από τον ακρωμιοκορακοειδή σύνδεσμο""

Δ. ""και από τους τρεις ανωτέρω συνδέσμους""

Ε. ""από τον άνω εγκάρσιο σύνδεσμο της ωμοπλάτης""",από τον ακρωμιοκορακοειδή σύνδεσμο,Γ
267,Η υπέρμετρη έκταση στην κατ΄ ώμον διάρθρωση παρεμποδίζεται:,"Α. ""από την πρόσθια δεσμίδα του κορακοβραχιονίου συνδέσμου""

Β. ""από τον τένοντα της μακράς κεφαλής του δικεφάλου βραχιονίου μυός""

Γ. ""από τους γληνοβραχιόνιους συνδέσμους""

Δ. ""από τον τένοντα της μακράς κεφαλής του τρικεφάλου βραχιονίου μυός""

Ε. ""από όλα τα ανωτέρω ανατομικά στοιχεία""",από την πρόσθια δεσμίδα του κορακοβραχιονίου συνδέσμου,Α
283,Η αμυγδαλική αρτηρία είναι κλάδος:,"Α. ""της άνω θυρεοειδούς αρτηρίας""

Β. ""της γλωσσικής αρτηρίας""

Γ. ""της κάτω θυρεοειδούς αρτηρίας""

Δ. ""της προσωπικής αρτηρίας""

Ε. ""τίποτε από τα ανωτέρω""",της προσωπικής αρτηρίας,Δ
