id,question,answers,best_answer,best_answer_index
11,Το στιφάδο παρασκευάζεται με κρέας,"Α. ""από άγριο ζώο.""

Β. ""από άγριο ή ήμερο ζώο.""",από άγριο ή ήμερο ζώο.,Β
12,"Αν στο μείγμα του τραχανά πέσει περισσότερο γάλα από όσο πρέπει,","Α. ""τότε ο τραχανάς γίνεται πιο παχύς.""

Β. ""τότε ο τραχανάς γίνεται πιο αραιός.""",τότε ο τραχανάς γίνεται πιο παχύς.,Α
13,"Αν στον τραχανά πέσει περισσότερο σιτάρι από όσο πρέπει,","Α. ""τότε ο τραχανάς γίνεται πιο πηχτός.""

Β. ""τότε ο τραχανάς γίνεται πιο ξερός.""",τότε ο τραχανάς γίνεται πιο ξερός.,Β
14,Πότε είναι έτοιμος να φαγωθεί ο τραχανάς;,"Α. ""Όταν βράσει καλά και πήξει.""

Β. ""Όταν βράσει καλά και στεγνώσει.""",Όταν βράσει καλά και στεγνώσει.,Β
15,Γιατί στα χωριά ο τραχανάς απλώνεται το καλοκαίρι;,"Α. ""Γιατί η διαδικασία ολοκληρώνεται πιο εύκολα με τον ήλιο επειδή έχει ζέστη.""

Β. ""Γιατί η διαδικασία ολοκληρώνεται πιο εύκολα με τον ήλιο επειδή έχει φως.""",Γιατί η διαδικασία ολοκληρώνεται πιο εύκολα με τον ήλιο επειδή έχει ζέστη.,Α
16,"Για να στραγγίξει το τυρί από το τυρόγαλο,","Α. ""το βάζουν σε τσαντίλα και το κρεμάνε ψηλά.""

Β. ""το βάζουν σε τσαντίλα και το χτυπάνε καλά.""",το βάζουν σε τσαντίλα και το κρεμάνε ψηλά.,Α
17,Πώς φτιάχνεται παραδοσιακά η μυζήθρα από το ξινόγαλο;,"Α. ""Το ξινόγαλο βράζει και η μυζήθρα βγαίνει στην επιφάνεια του δοχείου.""

Β. ""Το ξινόγαλο βράζει και η μυζήθρα μένει στον πάτο του δοχείου.""",Το ξινόγαλο βράζει και η μυζήθρα βγαίνει στην επιφάνεια του δοχείου.,Α
18,Τι πρέπει να έχει γίνει στο ταψί πριν τοποθετηθεί πάνω του το φύλλο για πίτα;,"Α. ""Να έχει αλευρωθεί.""

Β. ""Να έχει λαδωθεί.""",Να έχει λαδωθεί.,Β
19,Το τσάι του βουνού βρίσκεται,"Α. ""σε υψόμετρο άνω των 900 μέτρων.""

Β. ""σε υψόμετρο άνω των 1.500 μέτρων.""",σε υψόμετρο άνω των 900 μέτρων.,Α
20,Τι υλικά προστίθενται στο πράσο στην παραδοσιακή πίτα με πλιγούρι;,"Α. ""Βρασμένο πλιγούρι και τυρί.""

Β. ""Ωμό πλιγούρι και τυρί.""",Βρασμένο πλιγούρι και τυρί.,Α
21,Οι παραδοσιακές φορεσιές των Σαρακατσάνων,"Α. ""σπάνια είχαν αυστηρά γεωμετρικά σχέδια.""

Β. ""είχαν πάντα αυστηρά γεωμετρικά σχέδια.""",σπάνια είχαν αυστηρά γεωμετρικά σχέδια.,Α
22,"Η φυγοκεντρική μηχανή ενός ελαιοτριβείου έχει την ικανότητα επεξεργασίας προϊόντων με σημαντικό στερεό περιεχόμενο σε μια υψηλή απόδοση διαύγασης. Καθώς η φυγόκεντρος περιστρέφεται, τα βαρύτερα στερεά σωματίδια, όπως το δέρμα της ελιάς και ο πολτός, πιέζονται προς τα εξωτερικά τοιχώματα του τυμπάνου της φυγοκέντρησης, ενώ τα ελαφρύτερα υγρά συστατικά, συμπεριλαμβανομένου του νερού και του λαδιού, κινούνται προς το κέντρο.","Α. ""Στη συνέχεια, το μίγμα λαδιού και νερού διαχωρίζεται περαιτέρω. Το ένα μέρος, το οποίο περιέχει υπολειμματικό νερό και ακαθαρσίες, κινείται προς το εξωτερικό άκρο και αποβάλλεται μέσω μιας ξεχωριστής εξόδου. Το ελαιόλαδο, έχοντας μικρότερη πυκνότητα, συσσωρεύεται στο κέντρο και συλλέγεται για περαιτέρω επεξεργασία.""

Β. ""Στη συνέχεια, το μίγμα λαδιού και νερού διαχωρίζεται περαιτέρω. Το ένα μέρος, το οποίο περιέχει υπολειμματικό νερό και ακαθαρσίες, κινείται προς το κέντρο και αποβάλλεται μέσω μιας ξεχωριστής εξόδου. Το ελαιόλαδο, έχοντας μεγαλύτερη πυκνότητα, συσσωρεύεται στο εξωτερικό άκρο και συλλέγεται για περαιτέρω επεξεργασία.""","Στη συνέχεια, το μίγμα λαδιού και νερού διαχωρίζεται περαιτέρω. Το ένα μέρος, το οποίο περιέχει υπολειμματικό νερό και ακαθαρσίες, κινείται προς το εξωτερικό άκρο και αποβάλλεται μέσω μιας ξεχωριστής εξόδου. Το ελαιόλαδο, έχοντας μικρότερη πυκνότητα, συσσωρεύεται στο κέντρο και συλλέγεται για περαιτέρω επεξεργασία.",Α
23,"Κατά την επιλογή και/ή διαμόρφώση χώρου (γηπέδου) για ένα φωτοβολταϊκό πάρκο στον Ελλαδικό χώρο, πρέπει να επιδιώκονται τα εξής:","Α. ""α) η κλίση του γηπέδου προς το βορρά, β) η μικρή υψομετρική διαφορά μεταξύ ανατολικής και δυτικής πλευράς και γ) οι γειτονικές παρεμποδίσεις να βρίσκονται στο νότο""

Β. ""α) η κλίση του γηπέδου προς το νότο, β) η μικρή υψομετρική διαφορά μεταξύ ανατολικής και δυτικής πλευράς και γ) οι γειτονικές παρεμποδίσεις να βρίσκονται στο βορρά""","α) η κλίση του γηπέδου προς το νότο, β) η  μικρή υψομετρική διαφορά μεταξύ ανατολικής και δυτικής πλευράς και γ) οι γειτονικές παρεμποδίσεις να βρίσκονται στο βορρά",Β
24,"Κατά τη χύτευση λεπτών και μικρών αντικειμένων,","Α. ""προτιμάται ο χυτοσίδηρος από τον χυτοχάλυβα, καθώς ο δεύτερος είναι περισσότερο παχύρρευστος.""

Β. ""προτιμάται ο χυτοχάλυβας από τον χυτοσίδηρο, καθώς ο πρώτος είναι περισσότερο παχύρρευστος.""","προτιμάται ο χυτοσίδηρος από τον χυτοχάλυβα, καθώς ο δεύτερος είναι περισσότερο παχύρρευστος.",Α
25,"Στην τόρνευση, σημαντική είναι η γωνία τοποθέτησης κ ανάμεσα στην κύρια κοπτική ακμή και στην κατεργαζόμενη επιφάνεια.","Α. ""Όταν η γωνία κ είναι μικρή, το πάχος του αποβλίττου είναι μικρό αλλά η κατανομή της φόρτισης στο εργαλείο γίνεται σε μια πολύ μικρή περιοχή του. Αυτό έχει ως συνέπεια την ελάττωση του χρόνου ζωής του κοπτικού εργαλείου.""

Β. ""Όταν η γωνία κ είναι μεγάλη, το πάχος του αποβλίττου είναι μικρό αλλά η κατανομή της φόρτισης στο εργαλείο γίνεται σε μια πολύ μικρή περιοχή του. Αυτό έχει ως συνέπεια την ελάττωση του χρόνου ζωής του κοπτικού εργαλείου.""","Όταν η γωνία κ είναι μεγάλη, το πάχος του αποβλίττου είναι μικρό αλλά η κατανομή της φόρτισης στο εργαλείο γίνεται σε μια πολύ μικρή περιοχή του. Αυτό έχει ως συνέπεια την ελάττωση του χρόνου ζωής του κοπτικού εργαλείου.",Β
26,Στις δοκιμές σκληρότητας υλικών που έχουν υποστεί κατεργασίες σκλήρυνσης (όπως οι θερμικά κατεργασμένοι χάλυβες),"Α. ""χρησιμοποιούνται διεισδυτές από σκληρυμένο χάλυβα για τη σκληρομέτρηση.""

Β. ""χρησιμοποιούνται διεισδυτές από διαμάντι για τη σκληρομέτρηση.""",χρησιμοποιούνται διεισδυτές από σκληρυμένο χάλυβα για τη σκληρομέτρηση.,Α
27,"Στην επεξεργασία του ξύλου,","Α. ""παράγονται κόντρα πλακέ θαλάσσης από καπλαμάδες.""

Β. ""παράγονται καπλαμάδες από κόντρα πλακέ θαλάσσης.""",παράγονται κόντρα πλακέ θαλάσσης από καπλαμάδες.,Α
28,Η ξυλεία πρώτης ποιότητας,"Α. ""συνήθως αποτελείται από κυλινδρόσχημα κορμοτεμάχια.""

Β. ""συνήθως αποτελείται από κωνικόμορφα κορμοτεμάχια.""",συνήθως αποτελείται από κυλινδρόσχημα κορμοτεμάχια.,Α
29,"Σε αντίθεση με τα μέταλλα,","Α. ""το ξύλο έχει διαφορετική μηχανική αντοχή σε διαφορετικές αυξητικές διευθύνσεις (αξονικά, εγκάρσια).""

Β. ""το ξύλο έχει παρόμοια μηχανική αντοχή σε διαφορετικές αυξητικές διευθύνσεις (αξονικά, εγκάρσια).""","το ξύλο έχει διαφορετική μηχανική αντοχή σε διαφορετικές αυξητικές διευθύνσεις (αξονικά, εγκάρσια).",Α
30,Πώς καταλαβαίνω ότι δεν λειτουργεί ο ανεμιστήρας του κινητήρα;,"Α. ""Από τον δείκτη θερμοκρασίας.""

Β. ""Από τον δείκτη του μανόμετρου.""",Από τον δείκτη θερμοκρασίας.,Α
31,"Αν ανάψει η λυχνία για το λάδι του κινητήρα,","Α. ""ελέγχω τη στάθμη λαδιού του κινητήρα.""

Β. ""αλλάζω τα λάδια του κινητήρα.""",ελέγχω τη στάθμη λαδιού του κινητήρα.,Α
32,Τα ελαστικά του ίδιου άξονα πρέπει να έχουν,"Α. ""διαφορετική μορφή πέλματος και ίδιο βαθμό φθοράς.""

Β. ""ίδια μορφή πέλματος και ίδιο βαθμό φθοράς.""",ίδια μορφή πέλματος και ίδιο βαθμό φθοράς.,Β
33,Τα μπουλόνια που συγκρατούν τον τροχό ξεσφίγγονται,"Α. ""ενώ ο τροχός ακουμπά στο έδαφος.""

Β. ""ενώ ο τροχός βρίσκεται στον αέρα.""",ενώ ο τροχός ακουμπά στο έδαφος.,Α
34,Η έλλειψη ψυκτικού υγρού στο ψυγείο του αυτοκινήτου μπορεί να οδηγήσει,"Α. ""σε ένδειξη χαμηλής θερμοκρασίας.""

Β. ""σε ένδειξη υψηλής θερμοκρασίας.""",σε ένδειξη υψηλής θερμοκρασίας.,Β
35,"Τι είδους νερό προτιμάται τον χειμώνα, για να αποφεύγεται το ράγισμα του κινητήρα;","Α. ""Απεσταγμένο νερό.""

Β. ""Αντιπηκτικό νερό.""",Αντιπηκτικό νερό.,Β
36,Η ξαφνική παύση της λειτουργίας σε ορισμένα φώτα του αυτοκινήτου μπορεί να σημαίνει,"Α. ""βλάβη στην μπαταρία.""

Β. ""βλάβη σε κάποια ασφάλεια.""",βλάβη στην μπαταρία.,Α
37,Τι προστατευτικό μέτρο πρέπει να παίρνω όταν φορτίζω την μπαταρία με καλώδια;,"Α. ""Να φοράω μάσκα από μαλακό υλικό.""

Β. ""Να φοράω γάντια από καουτσούκ.""",Να φοράω γάντια από καουτσούκ.,Β
38,"Δεν επιτρέπεται να βάλω μπροστά με καλώδια εκκίνησης μπαταρίας, αυτοκίνητα με μπαταρίες","Α. ""που έχουν ζημιές στην καλωδίωση ή διαρροές μπαταρίας.""

Β. ""που έχουν ζημιές στην καλωδίωση.""",που έχουν  ζημιές στην καλωδίωση ή διαρροές μπαταρίας.,Α
39,Για να βάλω μπροστά ένα αυτοκίνητο με καλώδια εκκίνησης μπαταρίας,"Α. ""δεν πρέπει να υπάρχει έντονη οσμή καυσίμου.""

Β. ""δεν πρέπει να υπάρχει μειωμένη στάθμη καυσίμου.""",δεν πρέπει να υπάρχει έντονη οσμή καυσίμου.,Α
40,Πόση απόσταση πρέπει να έχουν μεταξύ τους δύο οχήματα που θα συνδεθούν με καλώδια φόρτισης μπαταρίας;,"Α. ""1 με 2 εκατοστά.""

Β. ""45 με 50 εκατοστά.""",45 με 50 εκατοστά.,Β
41,Ο οδηγός φρέναρε απότομα και έτσι οι τροχοί σταμάτησαν να περιστρέφονται.,"Α. ""Το αυτοκίνητο σταμάτησε σε μεγαλύτερη απόσταση αφού πλέον η επιβράδυνση οφειλόταν στην τριβή ολίσθησης και όχι στην στατική τριβή.""

Β. ""Το αυτοκίνητο σταμάτησε σε μικρότερη απόσταση αφού πλέον η επιβράδυνση οφειλόταν στην τριβή ολίσθησης και όχι στην στατική τριβή.""",Το αυτοκίνητο σταμάτησε σε μεγαλύτερη απόσταση αφού πλέον η επιβράδυνση οφειλόταν στην τριβή ολίσθησης και όχι στην στατική τριβή.,Α
42,Ζήτησε από τον υπάλληλο να μην ασχοληθεί με το εσωτερικό του αυτοκινήτου.,"Α. ""Εκείνος όμως έπλυνε και τα πατάκια.""

Β. ""Εκείνος όμως έπλυνε και το παρμπρίζ.""",Εκείνος όμως έπλυνε και τα πατάκια.,Α
43,"Σε περίπτωση που δεν διαθέτουμε πυξίδα, μπορούμε να προσανατολιστούμε με τον εξής τρόπο στην ύπαιθρο:","Α. ""Στερεώνουμε κατακόρυφα στο έδαφος ένα ξύλο με τέτοιο ύψος ώστε να αφήνει μια ευδιάκριτη σκιά στο έδαφος και σημαδεύουμε την άκρη της σκιάς. Περιμένουμε ώσπου να μετακινηθεί η σκιά περίπου 40 εκ. και σημαδεύουμε τη νέα θέση. Ενώνουμε τα δύο σημεία με μια ευθεία. Το πρώτο σημείο που σημαδέψαμε είναι το Ανατολικό, ενώ το δεύτερο είναι το Δυτικό. Η ευθεία δείχνει τον άξονα Ανατολής-Δύσης.""

Β. ""Στερεώνουμε κατακόρυφα στο έδαφος ένα ξύλο με τέτοιο ύψος ώστε να αφήνει μια ευδιάκριτη σκιά στο έδαφος και σημαδεύουμε την άκρη της σκιάς. Περιμένουμε ώσπου να μετακινηθεί η σκιά περίπου 40 εκ. και σημαδεύουμε τη νέα θέση. Ενώνουμε τα δύο σημεία με μια ευθεία. Το πρώτο σημείο που σημαδέψαμε είναι το Δυτικό, ενώ το δεύτερο είναι το Ανατολικό. Η ευθεία δείχνει τον άξονα Ανατολής-Δύσης.""","Στερεώνουμε κατακόρυφα στο έδαφος ένα ξύλο με τέτοιο ύψος ώστε να αφήνει μια ευδιάκριτη σκιά στο έδαφος και σημαδεύουμε την άκρη της σκιάς. Περιμένουμε ώσπου να μετακινηθεί η σκιά περίπου 40 εκ. και σημαδεύουμε τη νέα θέση. Ενώνουμε τα δύο σημεία με μια ευθεία.  Το πρώτο σημείο που σημαδέψαμε είναι το Δυτικό, ενώ το δεύτερο είναι το Ανατολικό. Η ευθεία δείχνει τον άξονα Ανατολής-Δύσης.",Β
44,"Για να καθαρίσουμε πουπουλένια μαξιλάρια,","Α. ""απαγορεύεται να τα πλύνουμε σε πλυντήριο ρούχων.""

Β. ""μπορούμε να τα πλύνουμε σε πλυντήριο ρούχων.""",μπορούμε να τα πλύνουμε σε πλυντήριο ρούχων.,Β
45,Η σωστή λαβή του ψαλιδιού γίνεται,"Α. ""τοποθετώντας τον αντίχειρα και τον μέσο στις δύο τρύπες.""

Β. ""τοποθετώντας τον αντίχειρα, τον δείκτη και τον μέσο στις δύο τρύπες.""",τοποθετώντας τον αντίχειρα και τον μέσο στις δύο τρύπες.,Α
46,Υπάρχουν κάποιες κατηγορίες ρούχων που καλό είναι να μην κρεμιούνται σε κρεμάστρες. Αυτές περιλαμβάνουν συνήθως,"Α. ""κοντομάνικα και μακρυμάνικα πουκάμισα.""

Β. ""κοντομάνικα και μακρυμάνικα μπλουζάκια.""",κοντομάνικα και μακρυμάνικα μπλουζάκια.,Β
47,"Σε ένα παλιό σπίτι, πιθανότερο είναι να φουσκώσει","Α. ""η πόρτα του μπάνιου.""

Β. ""η πόρτα της κρεβατοκάμαρας.""",η πόρτα του μπάνιου.,Α
48,Η γυναίκα μου ανησυχεί,"Α. ""μήπως ο σκύλος ξηλώσει την οπτική ίνα από το σοβατεπί του τοίχου.""

Β. ""μήπως ο σκύλος ξηλώσει την οπτική ίνα από την κορνίζα του τοίχου.""",μήπως ο σκύλος ξηλώσει την οπτική ίνα από το σοβατεπί του τοίχου.,Α
49,"Για να σβήσουμε με ασφάλεια μια εστία γκαζιού,","Α. ""κλείνουμε τις στρόφιγγες ανάποδα από τη φορά των δεικτών του ρολογιού.""

Β. ""κλείνουμε τις στρόφιγγες κατά τη φορά των δεικτών του ρολογιού.""",κλείνουμε τις στρόφιγγες κατά τη φορά των δεικτών του ρολογιού.,Β
50,"Στην ελληνική παράδοση, ο σιορ Διονύσιος του θεάτρου σκιών φοράει","Α. ""παντελόνι και φράκο.""

Β. ""παντελόνι και σακάκι.""",παντελόνι και φράκο.,Α
51,"Αν κατά το μαγείρεμα αναρωτιέστε πόσο πολύ πρέπει να προσθέσετε από κάποιο συστατικό,","Α. ""είναι προτιμότερο να προσθέσετε απλόχερα και να αφαιρέσετε αργότερα.""

Β. ""είναι προτιμότερο να προσθέσετε με φειδώ και να συμπληρώσετε αργότερα.""",είναι προτιμότερο να προσθέσετε με φειδώ και να συμπληρώσετε αργότερα.,Β
52,Ο Μορφονιός είναι ένα πρόσωπο του ελληνικού θεάτρου σκιών που εμφανίζεται ως,"Α. ""ψηλό, ξερακιανό με μεγάλη μύτη.""

Β. ""κοντό, μικροκαμωμένο με μεγάλη μύτη.""","κοντό, μικροκαμωμένο με μεγάλη μύτη.",Β
53,"Για να καλοτηγανίσω τις πατάτες,","Α. ""προσέχω να έχουν στραγγίξει καλά πριν να τις ρίξω στο τηγάνι.""

Β. ""προσέχω να έχουν μουλιάσει καλά πριν να τις ρίξω στο τηγάνι.""",προσέχω να έχουν μουλιάσει καλά πριν να τις ρίξω στο τηγάνι.,Β
54,"Στους μαρκαδόρους για ασπροπίνακα, το οινόπνευμα παίζει τον ρόλο του διαλύτη.","Α. ""Μέσα στο οινόπνευμα διαλύονται οι μικροΐνες του μαρκαδόρου για να φανεί το αποτύπωμά του.""

Β. ""Μέσα στο οινόπνευμα διαλύονται διάφορες χρωστικές για να δοθεί το χρώμα του.""",Μέσα στο οινόπνευμα διαλύονται διάφορες χρωστικές για να δοθεί το χρώμα του.,Β
55,Για την ολισθηρότητα του μαρκαδόρου πάνω στη λεία επιφάνεια του ασπροπίνακα,"Α. ""είναι υπεύθυνη μια λιπαρή ρητίνη.""

Β. ""είναι υπεύθυνη μια ξηρή ρητίνη.""",είναι υπεύθυνη μια λιπαρή ρητίνη.,Α
56,Γιατί το μπαλόνι μπορεί να αιωρείται;,"Α. ""Γιατί ο αέρας που περιέχει έχει μικρότερη πίεση από τον εξωτερικό αέρα της ατμόσφαιρας.""

Β. ""Γιατί ο αέρας που περιέχει έχει μεγαλύτερη πίεση από τον εξωτερικό αέρα της ατμόσφαιρας.""",Γιατί ο αέρας που περιέχει έχει μεγαλύτερη πίεση από τον εξωτερικό αέρα της ατμόσφαιρας.,Β
57,"Μετά την είσοδο στον ορθόδοξο ναό, ο επισκέπτης","Α. ""στράφηκε δεξιά για να ανάψει ένα κερί. Στη συνέχεια κοίταξε προς τ' αριστερά για να θαυμάσει το τέμπλο του ιερού.""

Β. ""στράφηκε αριστερά για να ανάψει ένα κερί. Στη συνέχεια κοίταξε προς τα δεξιά για να θαυμάσει το τέμπλο του ιερού.""",στράφηκε δεξιά για να ανάψει ένα κερί. Στη συνέχεια κοίταξε προς τ' αριστερά για να θαυμάσει το τέμπλο του ιερού.,Α
58,Ένα μπαλόνι δεν έχει ενιαίο χρώμα σε όλα τα σημεία του,"Α. ""επειδή το σχήμα του στα επιμέρους τμήματά του διαφέρει.""

Β. ""επειδή η πίεση του αέρα στα επιμέρους τμήματά του διαφέρει.""",επειδή η πίεση του αέρα στα επιμέρους τμήματά του διαφέρει.,Β
59,Ένα κομμάτι πλαστελίνη έχει περισσότερες πιθανότητες να επιπλεύσει στο νερό,"Α. ""εάν είναι κούφιο.""

Β. ""εάν δεν είναι κούφιο.""",εάν είναι κούφιο.,Α
60,Μία ημέρα με δυνατό μελτέμι ξεσπά πυρκαγιά στο κέντρο μεγάλης χορτολιβαδικής έκτασης στην οποία η επιφάνεια του εδάφους δεν παρουσιάζει ιδιαίτερες εξάρσεις.,"Α. ""Οι πυροσβέστες αποφασίζουν να προσεγγίσουν τη φωτιά από το νότο.""

Β. ""Οι πυροσβέστες αποφασίζουν να προσεγγίσουν τη φωτιά από το βορρά.""",Οι πυροσβέστες αποφασίζουν να προσεγγίσουν τη φωτιά από το βορρά.,Β
61,"Για την ανάσχεση μιας έρπουσας πυρκαγιάς, χρησιμοποείται η μέθοδος του «αντιπυρός». Σύμφωνα με αυτή τη μέθοδο, μια ελεγχόμενη γραμμή φωτιάς, αρκετά μπροστά από το κύριο μέτωπο, καίει με κατεύθυνση προς την επερχόμενη πυρκαγιά. Πώς ακριβώς αυτή η τακτική σταματά φυσικά την κύρια φωτιά;","Α. ""Το αντιπύρ καταναλώνει το διαθέσιμο οξυγόνο στην πορεία της κύριας πυρκαγιάς. Ως αποτέλεσμα το κύριο μέτωπο στερείται οξυγόνου, ενός από τα τρία στοιχεία του «τριγώνου της φωτιάς», και έτσι σβήνει ή επιβραδύνεται δραματικά.""

Β. ""Το αντιπύρ καταναλώνει την καύσιμη ύλη στην πορεία της κύριας πυρκαγιάς. Ως αποτέλεσμα το κύριο μέτωπο στερείται καύσιμης ύλης, ενός από τα τρία στοιχεία του «τριγώνου της φωτιάς», και έτσι σβήνει ή επιβραδύνεται δραματικά.""","Το αντιπύρ καταναλώνει την καύσιμη ύλη στην πορεία της κύριας πυρκαγιάς. Ως αποτέλεσμα το κύριο μέτωπο στερείται καύσιμης ύλης, ενός από τα τρία στοιχεία του «τριγώνου της φωτιάς», και έτσι σβήνει ή επιβραδύνεται δραματικά.",Β
62,Με ποιο μέρος της μουριάς τρέφονται οι μεταξοσκώληκες στη σηροτροφία;,"Α. ""Με τους καρπούς.""

Β. ""Με τα φύλλα.""",Με τα φύλλα.,Β
63,"Ένας πυροσβέστης βρίσκεται μπροστά από κτήριο στο οποίο φλέγεται ο δεύτερος όροφος. Ο κάθε όροφος του κτηρίου έχει ύψος 4 μέτρα. Ο πυροσβέστης έχει δύο ολκωτές κλίμακες τριπλής ανάπτυξης. Η πρώτη κλίμακα αποτελείται από κλιμάκια περίπου 3,50 μέτρων. Η δεύτερη κλίμακα αποτελείται από κλιμάκια περίπου 5,50 μέτρων.","Α. ""Η μικρότερη κλίμακα που μπορεί να χρησιμοποιήσει ο πυροσβέστης είναι η πρώτη.""

Β. ""Η μικρότερη κλίμακα που μπορεί να χρησιμοποιήσει ο πυροσβέστης είναι η δεύτερη.""",Η μικρότερη κλίμακα που μπορεί να χρησιμοποιήσει ο πυροσβέστης είναι η πρώτη.,Α
64,Σε τι υλικό αναρριχώνται οι μεταξοσκώληκες για να πλέξουν το κουκούλι στη σηροτροφία;,"Α. ""Σε φυσικά κλαδιά.""

Β. ""Σε φυσικά ή τεχνητά κλαδιά.""",Σε φυσικά ή τεχνητά κλαδιά.,Β
65,"Η Ευρωπαϊκή Συμφωνία για τις Διεθνείς Οδικές Μεταφορές Επικίνδυνων Εμπορευμάτων (Συμφωνία ADR) προβλέπει ότι τα οχήματα που μεταφέρουν επικίνδυνες ύλες πρέπει να φέρουν τουλάχιστον δύο ορθογώνιες αντανακλαστικές πινακίδες σε πορτοκαλί χρώμα, μία στο εμπρόσθιο και μία στο οπίσθιο μέρος του οχήματος. Οι πορτοκαλί αυτές πινακίδες αποτελούνται από δύο μέρη.","Α. ""Στο επάνω μέρος αναγράφεται ο αριθμός αναγνώρισης κινδύνου που ενέχει η ουσία που μεταφέρει το όχημα. Στο κάτω μέρος αναγράφεται ο αριθμός αναγνώρισης της ουσίας που μεταφέρει το όχημα.""

Β. ""Στο επάνω μέρος αναγράφεται ο αριθμός αναγνώρισης της ουσίας που μεταφέρει το όχημα. Στο κάτω μέρος αναγράφεται ο αριθμός αναγνώρισης κινδύνου που ενέχει η ουσία που μεταφέρει το όχημα.""",Στο επάνω μέρος αναγράφεται ο αριθμός αναγνώρισης κινδύνου που ενέχει η ουσία που μεταφέρει το όχημα. Στο κάτω μέρος αναγράφεται ο αριθμός αναγνώρισης της ουσίας που μεταφέρει το όχημα.,Α
66,"Στη σηροτροφία, αναπίνηση είναι η διαδικασία κατά την οποία","Α. ""ξετυλίγεται η κλωστή από το κουκούλι και τυλίγεται σε ανέμες.""

Β. ""ξετυλίγεται η κλωστή από το κουκούλι και τυλίγεται σε κουβάρι.""",ξετυλίγεται η κλωστή από το κουκούλι και τυλίγεται σε ανέμες.,Α
